,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
10,11,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,12,6,701,2,2,8,0
11,12,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,12,6,701,2,2,4,1
14,15,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12,6,705,2,2,4,1
17,18,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,12,6,707,1,2,3,2
30,31,2,2,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,12,6,735,2,1,4,1
31,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,6,701,1,2,8,0
52,53,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,12,6,701,1,2,3,1
53,54,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,12,6,701,2,2,5,1
54,55,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,12,6,701,2,1,4,1
86,87,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,12,6,739,1,3,8,1
87,88,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,12,6,731,2,2,8,1
99,100,2,2,4,1,1,0,1,1,1,1,0,0,1,1,0,1,1,12,6,701,2,2,3,1
100,101,2,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,12,6,701,2,3,3,1
101,102,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,12,6,702,1,3,1,3
139,140,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,6,715,2,2,3,1
140,141,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,12,6,715,2,2,7,1
142,143,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,701,1,3,1,1
161,162,1,1,5,0,0,1,0,1,1,0,0,0,1,0,0,0,0,12,6,701,2,1,8,0
202,203,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,12,6,701,1,2,4,2
206,207,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,6,701,2,2,7,2
212,213,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,12,6,701,1,2,3,1
213,214,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,12,6,701,2,2,8,1
263,264,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,12,6,701,2,3,8,1
265,266,1,1,4,0,0,0,1,1,1,1,0,1,1,1,1,1,1,12,6,701,2,3,1,1
266,267,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,6,701,1,3,3,2
349,350,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,12,6,701,2,3,2,2
362,363,1,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,6,747,2,2,11,2
363,364,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,710,2,2,12,1
401,402,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,12,6,734,2,3,1,2
402,403,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12,6,701,2,3,3,2
426,427,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,12,6,739,2,3,1,1
427,428,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,6,792,1,3,3,1
428,429,2,3,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,12,6,701,2,2,3,4
443,444,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,12,6,701,2,3,4,1
447,448,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,701,2,2,8,1
449,450,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,6,701,2,2,8,1
504,505,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,12,6,702,2,2,3,2
505,506,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,701,1,2,7,2
506,507,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,12,6,701,2,2,3,2
507,508,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,12,6,701,1,3,3,1
738,739,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,6,701,2,3,3,2
739,740,2,2,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,12,6,701,2,2,5,1
740,741,2,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,12,6,707,2,3,1,2
752,753,2,3,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,12,6,701,2,2,1,1
766,767,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,12,6,701,2,3,12,1
767,768,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,12,6,701,1,2,3,2
789,790,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,12,6,721,1,2,3,1
790,791,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12,6,701,2,3,2,1
791,792,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,12,6,701,1,2,1,2
833,834,2,3,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,12,6,701,2,2,7,2
834,835,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,12,6,701,1,2,3,2
1045,1046,2,2,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,11,6,701,1,3,2,3
1046,1047,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,11,6,701,1,3,2,2
1064,1065,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,6,701,2,2,8,1
1065,1066,1,1,4,1,1,0,1,1,1,1,1,0,1,1,1,0,0,11,6,701,2,3,3,1
1067,1068,2,4,5,1,1,1,1,1,1,1,0,0,1,1,1,1,1,11,6,712,1,2,4,2
1127,1128,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,11,6,701,2,2,3,1
1128,1129,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,11,6,701,1,2,4,1
1136,1137,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,11,6,701,2,3,9,3
1141,1142,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,11,6,701,2,2,3,2
1152,1153,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,11,6,701,1,2,5,1
1168,1169,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,11,6,701,2,3,2,2
1169,1170,2,2,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,11,6,701,2,3,5,2
1198,1199,2,4,4,0,1,1,1,1,1,0,0,0,1,1,1,1,1,11,6,701,2,2,2,4
1199,1200,2,2,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,11,6,701,2,2,12,2
1200,1201,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,6,701,1,2,8,0
1213,1214,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,11,6,701,2,2,4,2
1229,1230,2,2,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,11,6,701,1,2,2,1
1280,1281,2,4,7,0,1,1,0,1,0,0,1,0,1,1,1,1,0,11,6,701,2,2,2,1
1282,1283,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,11,6,701,1,2,7,1
1283,1284,2,3,4,0,1,1,1,1,0,1,1,0,1,0,0,1,1,11,6,703,2,2,2,3
1284,1285,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,11,6,701,2,3,2,2
1293,1294,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,6,701,2,1,11,1
1294,1295,2,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,6,701,1,2,4,1
1298,1299,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,701,2,3,2,1
1309,1310,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,11,6,701,2,2,3,1
1331,1332,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11,6,702,2,2,12,1
1374,1375,2,4,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,11,6,724,2,3,1,2
1375,1376,2,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,11,6,701,2,2,8,1
1419,1420,2,3,4,0,1,1,1,1,1,0,0,0,1,1,1,0,1,11,6,701,2,1,12,0
1420,1421,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,701,1,2,3,1
1421,1422,2,2,4,0,0,0,1,1,1,1,1,1,1,1,1,0,1,11,6,701,2,2,9,2
1712,1713,2,2,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,11,6,701,2,2,3,1
1713,1714,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,11,6,701,2,2,5,1
1715,1716,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,11,6,701,2,2,3,1
