,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
10999,11000,1,1,1,5,5,5,5,5,5,5,4,5,5,0,5,4,4,1,9,805,2,2,4,1
11000,11001,1,1,6,4,5,4,4,4,3,3,3,3,5,0,4,3,4,1,97,5012,2,3,2,3
11001,11002,1,1,6,4,4,4,5,5,4,4,4,4,5,0,4,4,4,1,3,401,2,2,2,4
11002,11003,2,4,6,4,5,5,3,4,3,4,3,3,5,0,4,4,4,1,16,6296,1,3,2,2
11003,11004,2,3,6,4,5,5,3,3,3,3,2,3,5,1,5,4,4,1,16,6296,1,3,5,2
11004,11005,1,1,6,5,5,5,4,4,4,5,4,4,5,1,5,4,5,1,3,401,1,2,5,4
11005,11006,2,4,6,4,4,5,5,3,3,3,4,3,5,1,5,5,5,1,4,402,2,3,2,3
11007,11008,2,2,1,3,5,4,5,4,4,4,3,4,5,0,3,3,3,1,6,701,1,2,5,3
11008,11009,2,4,6,4,4,4,4,4,3,3,3,4,4,0,4,4,4,1,7,6199,1,3,12,2
11010,11011,1,1,6,5,5,4,5,4,5,4,3,3,5,1,4,3,5,1,12,1305,1,2,2,3
11014,11015,1,1,6,4,4,4,3,3,5,3,2,3,5,0,4,4,4,1,16,5513,1,3,2,2
11015,11016,1,1,6,4,5,5,3,4,5,3,2,4,5,0,4,4,4,1,16,6296,1,2,2,2
11017,11018,1,1,1,3,4,4,4,4,4,4,4,4,4,1,5,5,4,1,9,803,2,1,4,1
11018,11019,1,1,6,5,5,5,3,4,4,5,3,3,4,0,5,4,4,1,9,816,1,2,5,3
11019,11020,1,1,7,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,9,819,1,2,2,1
11020,11021,1,1,7,5,5,5,3,5,4,5,2,5,5,1,5,4,5,1,97,5221,1,2,8,1
11021,11022,1,1,5,5,5,4,4,4,5,4,3,4,5,0,5,3,4,1,9,921,2,4,3,4
11025,11026,1,1,6,2,4,3,3,4,4,4,4,4,4,0,5,4,4,1,15,6013,1,2,5,1
11026,11027,1,1,1,5,5,5,5,5,5,5,3,5,5,0,5,4,5,1,97,5443,1,2,8,1
11028,11029,1,1,1,5,4,5,5,4,5,5,4,5,5,1,5,5,4,1,10,1001,1,2,7,5
11029,11030,1,1,1,4,4,4,4,3,5,4,3,3,4,0,4,4,4,1,9,861,1,2,8,1
11031,11032,1,1,1,2,4,4,5,4,4,3,3,4,4,0,5,4,4,1,4,402,1,1,3,4
11032,11033,2,2,2,5,3,4,4,3,3,3,3,4,4,1,5,4,4,1,6,701,2,2,2,4
11033,11034,1,1,6,5,4,5,5,4,5,5,4,4,5,1,5,4,5,1,4,402,1,3,2,2
11034,11035,1,1,6,3,5,5,4,4,5,4,4,3,4,0,3,3,4,1,9,868,2,3,5,3
11035,11036,2,4,5,3,4,4,5,3,2,4,5,5,5,0,5,5,4,1,9,802,1,2,7,1
11036,11037,2,4,3,5,5,5,3,3,4,4,2,4,5,1,4,4,4,1,12,1309,1,2,8,1
11037,11038,2,4,1,4,4,4,4,4,4,4,4,4,4,0,4,4,4,1,3,401,2,2,2,2
11038,11039,1,1,4,5,5,4,4,4,4,4,3,4,5,0,4,3,4,1,3,401,2,2,3,1
11039,11040,1,1,1,2,5,5,4,5,5,5,4,3,5,0,5,4,5,1,9,847,2,2,12,4
11040,11041,2,2,1,5,4,4,5,4,5,3,2,4,5,0,4,4,4,1,6,701,2,3,3,1
11041,11042,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,4,5,1,3,401,1,3,5,2
11042,11043,1,1,2,3,3,4,4,3,4,3,4,3,4,0,4,3,4,1,1,2,2,1,4,5
11043,11044,2,2,2,4,3,4,4,4,3,3,4,4,4,0,4,4,4,1,1,4,2,2,9,2
11044,11045,2,2,1,3,4,5,4,3,4,3,3,2,3,0,4,3,4,1,1,5,1,2,6,4
11045,11046,2,2,1,3,4,4,4,4,4,4,3,4,4,0,4,4,4,1,1,3,2,2,4,3
11046,11047,2,3,1,4,4,4,4,3,4,3,4,2,3,0,4,4,4,1,1,3,1,2,6,1
11047,11048,2,3,1,4,4,3,4,4,5,5,3,3,3,0,4,4,4,1,1,2,1,1,6,5
11048,11049,1,1,1,4,3,4,4,4,5,5,4,5,3,0,4,4,4,1,1,2,1,2,4,4
11049,11050,1,1,1,4,5,4,4,4,4,4,3,4,4,0,4,4,4,1,1,77,2,1,9,5
11050,11051,1,1,1,4,4,4,3,4,3,3,4,3,3,0,4,4,4,1,1,52,1,2,4,4
11051,11052,2,4,4,4,4,4,3,4,3,3,4,2,3,0,4,4,4,1,1,15,2,2,9,2
11052,11053,1,1,1,5,4,4,3,4,4,4,3,4,3,0,4,4,4,1,1,3,1,2,6,3
11053,11054,2,2,2,4,4,4,4,4,4,4,4,3,4,0,4,4,4,1,1,2,1,2,3,2
11054,11055,2,2,1,4,3,4,5,4,4,4,4,5,4,0,4,4,4,1,1,40,2,2,3,3
11055,11056,2,4,6,4,4,4,4,3,4,4,4,4,4,0,4,4,4,1,1,47,1,2,3,2
11056,11057,2,3,1,4,4,4,3,4,4,4,4,2,3,0,4,4,4,1,1,5,2,2,3,2
11057,11058,2,4,1,3,4,4,4,3,4,4,4,3,4,0,4,4,4,1,1,1,1,1,7,4
11058,11059,1,1,1,3,4,4,4,4,4,3,3,4,4,0,4,4,4,1,1,26,1,2,4,4
11059,11060,2,4,1,3,4,4,4,3,4,3,3,3,4,0,4,4,4,1,1,1,1,1,7,4
11060,11061,1,1,1,4,4,4,4,4,3,3,4,4,4,0,4,4,4,1,1,4,2,2,3,2
11061,11062,2,4,1,3,4,4,4,3,4,3,4,4,4,0,4,4,4,1,1,52,1,2,4,3
11062,11063,1,1,1,4,3,4,4,3,4,3,4,3,3,0,4,4,4,1,1,15,1,2,3,2
11063,11064,1,1,1,4,4,4,4,4,4,4,3,4,4,0,4,3,4,1,2,210,1,2,99,2
11064,11065,1,1,1,4,3,4,4,4,4,4,4,3,4,0,4,4,4,1,2,202,2,2,4,3
11065,11066,1,1,1,4,4,4,4,4,4,4,4,3,4,0,4,4,4,1,1,26,2,2,6,5
11066,11067,1,1,1,3,4,3,4,4,4,3,4,4,3,0,4,4,4,1,2,236,2,2,3,2
11067,11068,1,1,1,3,4,4,4,4,4,4,4,4,4,0,3,3,4,1,2,236,2,2,4,3
11068,11069,1,1,1,4,4,4,3,3,4,4,4,4,4,0,4,3,3,1,2,202,1,2,3,2
11069,11070,1,1,1,3,3,4,4,3,4,3,4,3,3,0,3,3,4,1,1,3,1,2,11,1
11070,11071,1,1,1,4,4,3,4,4,4,4,4,4,4,0,4,4,4,1,2,210,1,2,2,3
11071,11072,2,2,4,4,4,4,3,4,3,3,4,2,3,0,4,4,4,1,1,68,2,2,7,2
11072,11073,1,1,1,5,5,4,4,4,5,5,5,5,5,1,5,5,4,1,7,5001,2,2,8,1
11073,11074,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,3,401,1,1,7,2
11074,11075,1,1,1,5,5,4,4,4,5,5,5,5,5,1,5,5,5,1,3,401,2,1,9,4
11075,11076,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,3,401,2,2,9,2
11076,11077,1,1,1,5,5,5,5,4,4,5,5,5,5,1,4,5,5,1,5,501,2,2,8,1
11077,11078,1,1,1,5,4,4,4,5,5,5,5,4,4,1,5,5,5,1,7,5001,1,2,4,2
11078,11079,1,1,1,5,4,5,5,5,5,5,5,5,5,1,5,5,5,1,5,501,1,2,8,1
11079,11080,1,1,1,5,5,5,4,5,5,5,5,5,5,1,5,5,5,1,6,701,1,2,3,1
11080,11081,1,1,1,5,5,4,4,4,5,5,4,5,5,1,5,5,5,1,6,701,2,2,4,2
11081,11082,1,1,1,5,4,5,5,5,5,4,5,5,5,1,5,5,4,1,3,401,1,2,7,2
11082,11083,1,1,1,5,5,5,4,5,5,5,5,5,5,1,5,5,5,1,3,401,2,1,9,3
11083,11084,1,1,1,5,5,5,4,5,5,5,5,5,5,1,5,5,5,1,5,501,1,2,8,1
11084,11085,1,1,1,5,5,5,5,5,4,5,5,5,5,1,5,5,5,1,5,501,2,2,4,2
11085,11086,1,1,1,5,5,5,5,5,5,5,4,5,5,1,5,5,5,1,5,501,1,2,8,1
11086,11087,1,1,1,5,5,5,5,5,5,5,4,5,5,1,5,5,5,1,3,401,2,2,3,1
11087,11088,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,7,5001,1,2,4,2
11088,11089,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,7,5001,2,2,9,3
11089,11090,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,501,2,1,8,1
11090,11091,1,1,1,5,4,4,4,5,5,5,5,4,4,1,5,5,5,1,5,501,2,1,8,1
11091,11092,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,501,2,1,9,3
11092,11093,1,1,1,5,5,4,5,5,5,5,5,5,5,1,5,5,5,1,5,501,2,2,9,3
11093,11094,1,1,1,5,5,4,4,5,5,5,5,5,5,1,5,5,5,1,9,816,1,3,1,2
11094,11095,1,1,1,5,4,4,4,5,4,4,4,5,4,1,5,5,5,1,7,5001,2,1,4,3
11095,11096,1,1,1,5,5,4,4,4,5,5,5,5,5,1,4,4,4,1,9,816,1,2,4,3
11096,11097,1,1,1,5,5,5,4,5,5,5,5,5,5,1,5,5,5,1,9,813,2,2,9,2
11097,11098,1,1,6,5,5,4,4,4,3,4,4,2,3,0,3,4,3,1,12,1303,1,2,3,1
11100,11101,2,2,1,4,4,4,4,4,4,5,4,4,4,0,4,4,4,1,3,401,2,2,3,1
11102,11103,2,4,6,5,5,5,2,5,5,5,3,4,5,1,5,5,5,1,16,5031,1,3,2,2
11104,11105,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,7,5051,2,4,2,1
11105,11106,1,1,4,4,4,4,4,4,4,4,4,4,4,1,5,5,4,1,7,5164,2,2,8,1
11106,11107,1,1,1,5,5,5,5,5,5,5,3,3,4,0,4,4,5,1,7,5739,1,2,2,2
11107,11108,1,1,1,3,4,4,4,4,4,4,3,4,4,0,4,4,4,1,7,5001,1,2,5,1
11108,11109,1,1,1,4,4,4,4,4,4,3,3,3,4,0,4,4,4,1,6,701,2,2,12,1
11109,11110,1,1,1,3,3,3,3,5,4,5,3,3,3,1,4,3,5,1,6,701,2,2,8,1
11110,11111,2,2,4,4,4,4,4,4,4,4,4,4,4,0,4,3,3,1,1,42,2,2,4,1
11111,11112,1,1,1,3,4,4,5,5,3,2,4,4,4,0,4,3,4,1,1,39,2,2,12,1
11113,11114,1,1,1,4,4,4,4,4,4,4,4,4,4,0,4,5,5,1,6,701,2,4,3,2
11114,11115,1,1,4,4,4,4,3,3,4,4,3,3,3,0,4,4,4,1,6,701,1,2,3,3
11115,11116,1,1,1,5,5,5,5,5,4,5,3,4,5,0,4,5,5,1,7,5001,2,2,8,1
11116,11117,1,1,1,4,4,5,3,4,5,4,4,4,4,0,4,4,4,1,7,5951,1,2,7,1
11117,11118,1,1,4,4,4,4,4,5,4,4,4,4,4,0,4,4,4,1,6,701,2,2,8,1
11119,11120,2,2,1,3,3,3,3,3,3,3,2,4,2,0,3,3,3,1,1,2,2,2,8,3
11120,11121,2,4,4,4,4,5,5,5,4,4,3,4,4,0,4,4,4,1,1,2,1,2,4,3
11122,11123,1,1,5,5,5,5,4,5,5,5,4,4,5,1,5,3,5,1,15,5037,1,2,8,1
11123,11124,2,4,5,4,4,3,4,3,3,3,4,3,3,0,4,4,4,1,1,1,2,1,1,2
11124,11125,1,1,1,4,5,5,5,5,3,3,4,4,3,0,4,5,3,1,10,1001,2,3,8,1
11126,11127,2,4,4,5,4,4,5,5,5,5,5,5,5,1,5,5,5,1,1,25,2,1,4,3
11127,11128,2,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,5,1,1,25,2,2,4,4
11128,11129,2,4,1,5,3,5,5,5,4,4,4,4,5,1,5,5,5,1,1,25,2,2,4,1
11131,11132,2,4,1,5,4,5,5,5,5,5,5,4,4,1,5,2,5,1,1,1,2,2,4,1
11132,11133,2,2,1,5,5,5,5,5,5,5,3,5,4,1,5,5,5,1,3,401,2,2,5,2
11133,11134,1,1,1,4,4,4,4,4,4,4,3,3,4,0,4,3,3,1,3,401,1,2,4,2
11135,11136,1,1,6,5,4,4,5,4,3,3,2,3,4,0,4,3,5,1,11,1101,1,2,2,3
11136,11137,1,1,6,4,4,4,4,4,3,4,3,3,3,0,4,4,4,1,11,1101,1,2,3,2
11141,11142,2,2,6,5,3,5,5,5,5,5,5,5,5,1,5,5,5,1,11,1101,1,3,5,2
11142,11143,2,4,1,4,4,5,5,5,4,3,4,3,4,1,5,5,5,1,1,10,2,1,7,3
11143,11144,2,4,1,4,5,4,5,5,5,5,5,5,5,1,4,4,5,1,1,8,2,1,9,3
11144,11145,2,3,1,3,4,4,5,4,3,3,3,3,3,1,4,4,4,1,1,1,2,2,12,3
