,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
6998,6999,1,1,4,5,5,5,3,4,2,2,2,5,3,3,3,5,3,5,3,401,2,1,4,2
6999,7000,2,2,1,3,2,3,3,2,3,3,2,2,2,2,3,4,3,5,3,401,2,2,3,3
7000,7001,1,1,1,5,5,5,4,5,4,5,3,4,5,4,5,3,5,5,12,1303,2,1,9,4
7001,7002,1,1,3,4,4,3,4,3,4,4,4,5,4,4,4,4,4,5,3,401,1,2,8,0
7002,7003,2,4,5,4,5,5,5,5,4,5,2,5,5,5,5,5,5,5,12,1310,1,2,3,4
7003,7004,2,2,4,3,4,4,4,5,5,4,4,4,4,4,4,4,4,5,3,401,2,2,4,1
7004,7005,1,1,4,5,5,5,4,4,4,4,3,3,5,5,5,4,4,5,3,401,1,3,1,1
7005,7006,1,1,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,7,5548,2,2,7,2
7007,7008,1,1,1,4,4,4,4,4,4,4,3,3,5,4,5,4,5,5,7,5001,1,2,3,1
7008,7009,1,1,1,4,5,4,3,5,5,4,3,3,4,5,5,4,4,5,7,5001,2,2,8,1
7009,7010,1,1,5,4,5,4,5,5,5,5,5,5,5,4,5,4,5,5,97,5005,2,2,12,1
7010,7011,1,1,1,5,4,5,5,4,5,5,3,4,5,5,5,4,5,5,7,5001,1,2,5,1
7011,7012,2,2,4,4,5,4,3,5,4,5,4,4,5,5,5,4,4,5,7,5741,2,3,2,1
7013,7014,1,1,1,5,5,5,5,4,4,4,4,4,4,3,5,4,4,5,10,1002,1,2,8,1
7014,7015,1,1,1,4,5,4,3,4,3,4,3,4,5,4,4,4,4,5,6,701,1,2,3,3
7015,7016,1,1,4,5,5,5,5,5,5,5,5,5,5,3,4,3,5,5,6,701,2,1,3,1
7016,7017,2,2,1,4,4,5,5,5,5,5,4,4,5,5,5,5,5,5,14,1702,2,2,3,1
7017,7018,1,1,1,5,5,5,5,5,5,5,4,3,5,5,5,4,5,5,14,1702,2,3,5,1
7019,7020,1,1,1,4,4,4,4,4,4,4,2,3,4,4,4,4,5,5,4,402,2,1,8,0
7020,7021,2,2,6,5,3,5,5,5,4,3,3,3,5,5,5,5,5,5,9,805,1,2,2,2
7022,7023,1,1,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,4,402,2,2,2,2
7024,7025,1,1,6,4,3,5,5,4,3,3,2,4,5,3,4,4,4,5,12,1359,1,2,3,2
7025,7026,1,1,6,5,5,5,3,5,5,5,3,5,5,5,5,5,5,5,16,5604,1,4,5,3
7026,7027,1,1,7,5,5,5,4,5,5,5,3,4,5,4,4,4,5,5,16,5633,1,3,5,1
7027,7028,1,1,1,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,10,1002,1,2,4,4
7028,7029,2,4,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,402,2,2,5,2
7029,7030,1,1,6,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,4,402,1,2,2,2
7030,7031,1,1,1,4,5,4,4,4,5,4,4,4,5,4,4,4,4,5,7,5001,1,2,4,1
7031,7032,1,1,1,4,5,5,4,4,5,4,2,3,4,5,5,4,4,5,7,5001,1,1,7,3
7032,7033,2,2,1,4,4,4,3,4,4,4,3,4,4,5,5,4,4,5,7,5001,2,2,5,2
7033,7034,1,1,1,5,5,4,3,3,5,4,3,3,5,5,5,4,5,5,7,5164,2,2,5,1
7034,7035,1,1,1,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,5,501,1,2,3,1
7035,7036,2,4,4,4,5,4,5,4,4,4,4,4,4,4,4,3,4,5,5,501,2,2,7,4
7036,7037,2,3,3,2,4,4,4,4,4,4,3,4,5,5,5,4,4,5,6,701,2,3,2,2
7037,7038,2,3,1,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,501,1,2,8,1
7039,7040,2,4,5,4,3,3,4,4,4,3,1,3,4,4,3,4,4,5,97,5953,1,1,8,1
7040,7041,1,1,1,4,4,5,5,5,5,5,5,4,4,4,5,4,5,5,6,701,1,2,1,0
7041,7042,2,2,1,4,3,5,4,4,4,5,4,3,4,4,4,4,4,5,6,701,1,2,3,1
7043,7044,1,1,7,5,3,4,4,5,5,5,4,3,5,5,5,3,5,5,15,6477,2,1,8,0
7044,7045,1,1,1,5,3,5,3,5,5,5,5,5,5,4,4,4,4,5,5,501,2,2,9,3
7045,7046,2,2,6,5,5,5,4,4,5,4,4,4,5,5,5,5,5,5,97,5167,1,2,5,2
7047,7048,1,1,1,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,7,5001,1,2,12,2
7048,7049,2,2,4,5,5,3,3,5,3,5,5,5,5,4,4,4,5,5,2,205,2,2,12,1
7049,7050,1,1,1,4,4,4,3,5,4,4,4,4,4,3,3,4,4,5,2,231,2,2,2,1
7050,7051,1,1,1,5,5,5,4,5,5,5,3,4,5,4,4,4,5,5,2,211,1,3,3,2
7051,7052,1,1,1,5,5,5,4,5,5,5,4,5,5,5,5,4,5,5,7,6199,2,2,1,2
7052,7053,1,1,2,4,4,3,4,4,4,4,3,4,4,4,4,4,3,5,7,6035,1,3,1,3
7053,7054,1,1,1,5,5,4,4,4,4,5,3,4,5,4,5,4,5,5,7,6035,2,2,1,2
7054,7055,1,1,6,5,5,5,4,5,5,4,4,5,5,5,5,4,5,5,9,865,1,2,6,2
7055,7056,1,1,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,9,875,1,2,12,1
7056,7057,1,1,7,4,5,4,4,4,4,4,4,4,3,5,4,4,4,5,9,887,2,3,12,1
7057,7058,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,865,2,1,8,1
7058,7059,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,9,879,1,2,2,4
7061,7062,2,4,1,3,3,4,4,4,4,4,4,4,4,4,3,4,4,5,1,2,2,2,3,1
7062,7063,2,4,1,3,3,4,4,4,4,4,4,3,3,4,4,4,4,5,1,3,2,2,4,1
7063,7064,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,2,1,2,11,1
7064,7065,2,4,1,4,4,4,4,4,4,4,4,3,4,4,3,4,4,5,1,107,1,2,4,2
7065,7066,2,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,11,1,2,3,4
