,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
24,25,2,2,6,0,0,1,1,1,1,1,0,0,1,1,1,0,1,12,8,609,1,2,6,4
75,76,2,4,5,1,1,1,1,1,1,1,0,1,1,1,1,1,1,12,8,601,1,3,5,2
90,91,1,1,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,12,8,603,2,2,8,1
97,98,1,1,6,1,0,0,0,0,0,0,0,0,1,1,1,1,1,12,8,605,1,2,7,3
98,99,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,12,8,605,2,2,4,1
105,106,2,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,8,608,2,3,8,1
115,116,2,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,8,613,1,2,5,3
122,123,1,1,6,0,0,0,1,1,0,0,0,0,1,1,1,0,1,12,8,601,2,1,7,0
126,127,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,12,8,603,2,2,8,1
246,247,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,12,8,601,1,3,5,3
299,300,1,1,7,1,0,0,0,0,0,0,0,0,1,1,1,0,1,12,8,601,2,2,8,0
306,307,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,601,2,2,2,2
350,351,2,4,5,1,0,1,0,0,0,0,0,0,0,1,1,0,1,12,8,605,2,2,2,1
377,378,1,1,6,0,1,0,0,0,0,1,0,0,1,0,0,0,0,12,8,603,1,2,2,4
381,382,2,4,6,1,1,0,0,0,0,0,0,1,1,1,0,0,0,12,8,601,1,2,7,4
383,384,2,4,6,1,1,1,1,1,0,0,0,1,1,1,1,0,1,12,8,613,1,3,5,3
407,408,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,12,8,605,1,2,2,2
414,415,2,4,6,0,1,1,1,0,0,1,0,0,1,1,1,1,1,12,8,609,1,3,2,3
471,472,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,12,8,609,1,2,5,1
522,523,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,12,8,608,1,9,3,2
526,527,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,12,8,603,2,2,9,5
625,626,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,607,2,2,10,4
779,780,1,1,6,1,0,1,1,1,1,0,0,1,1,0,1,0,1,12,8,605,2,2,4,3
832,833,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,12,8,603,2,2,8,2
855,856,2,4,5,1,0,1,1,0,0,0,1,1,1,1,1,1,1,12,8,601,1,2,3,3
1077,1078,1,1,6,1,0,0,1,1,1,0,0,0,1,1,0,0,0,11,8,601,1,2,12,4
1184,1185,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,603,2,3,5,2
1207,1208,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,11,8,603,1,2,4,1
1226,1227,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,8,603,1,3,5,5
1231,1232,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,613,1,2,8,1
1316,1317,2,4,6,1,1,1,1,1,0,1,1,1,1,1,1,1,1,11,8,601,1,3,2,1
1413,1414,2,4,6,0,0,1,1,0,0,0,0,0,1,0,0,0,0,11,8,603,1,3,5,5
1431,1432,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,8,603,1,3,5,1
1432,1433,2,2,5,1,1,1,1,1,1,0,0,1,1,1,1,0,1,11,8,601,2,3,3,3
1433,1434,2,4,6,1,1,1,1,0,1,0,1,1,1,0,0,0,0,11,8,601,2,3,5,4
1434,1435,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,0,1,11,8,601,2,4,5,3
1435,1436,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,11,8,605,1,3,3,2
1436,1437,1,1,6,1,1,1,1,0,1,0,0,1,1,0,0,0,0,11,8,601,2,4,5,2
1447,1448,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,11,8,606,2,1,8,0
1466,1467,2,2,5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,11,8,601,2,3,2,3
1467,1468,2,4,5,1,1,1,1,1,1,1,1,1,1,0,1,0,1,11,8,613,1,3,5,1
1503,1504,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,11,8,605,1,4,5,2
1777,1778,1,1,5,1,0,0,0,1,1,0,0,1,1,0,1,0,1,11,8,613,2,2,11,1
1779,1780,1,1,6,1,1,1,1,0,0,1,0,1,1,1,1,0,1,11,8,603,1,3,5,2
1792,1793,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,11,8,609,2,2,8,1
1796,1797,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,11,8,601,1,1,5,2
1803,1804,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,11,8,603,1,2,8,0
1804,1805,1,1,5,1,1,0,1,1,1,0,0,1,1,0,1,0,0,11,8,605,1,2,8,1
1809,1810,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,8,603,1,2,1,1
1853,1854,1,1,6,1,1,0,0,1,1,1,0,0,1,0,0,1,1,11,8,604,1,3,12,4
1996,1997,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,11,8,605,2,2,9,3
2064,2065,2,2,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,10,8,605,2,3,10,5
2134,2135,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,1,1,10,8,603,2,3,2,4
2266,2267,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,10,8,601,2,3,7,3
2268,2269,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,10,8,601,2,1,6,4
2273,2274,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,10,8,609,1,2,12,1
2277,2278,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,10,8,603,1,2,1,3
2346,2347,2,4,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,8,603,2,2,5,2
2392,2393,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,603,1,2,7,2
2401,2402,1,1,7,1,1,0,0,0,1,0,0,0,1,1,1,0,1,10,8,613,2,2,7,2
2422,2423,2,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,8,609,2,2,5,3
2476,2477,2,4,5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,10,8,613,2,3,9,5
2509,2510,1,1,6,0,1,1,1,1,1,1,1,0,1,1,1,0,1,10,8,603,1,4,2,3
2723,2724,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,10,8,612,1,1,4,1
2768,2769,2,2,6,1,0,1,0,0,0,0,0,0,1,0,1,0,0,10,8,603,2,2,2,2
2776,2777,1,1,6,1,0,0,1,0,0,1,0,0,1,0,0,0,0,10,8,601,1,2,2,4
2777,2778,1,1,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,8,601,1,2,4,9
2797,2798,2,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,8,636,1,2,10,5
2798,2799,2,4,6,1,1,1,1,1,1,1,0,1,1,1,0,0,0,10,8,601,2,2,2,2
2801,2802,2,3,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,10,8,605,1,2,5,1
2817,2818,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,10,8,603,2,2,8,1
2827,2828,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,10,8,613,2,3,5,1
2945,2946,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,601,1,2,4,1
3109,3110,1,1,6,1,1,1,1,1,1,1,0,0,1,1,1,0,1,9,8,613,1,2,5,2
3220,3221,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,613,1,2,7,2
3348,3349,2,4,6,1,0,0,1,0,0,0,0,0,0,1,1,1,1,9,8,601,1,2,2,3
3355,3356,1,1,6,0,1,1,1,1,1,1,0,1,1,0,0,0,0,9,8,613,1,3,5,1
3386,3387,1,1,4,1,1,1,1,1,1,0,1,1,1,1,1,0,1,9,8,613,2,2,4,1
3389,3390,2,2,6,1,1,1,1,1,1,1,1,0,1,1,1,0,1,9,8,601,1,2,2,5
3396,3397,1,1,5,1,0,0,1,1,1,1,0,1,1,0,0,0,0,9,8,613,1,1,4,1
3459,3460,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,9,8,613,1,2,3,1
3481,3482,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,9,8,601,2,2,8,1
3489,3490,2,4,6,1,1,1,1,1,1,1,0,1,1,1,1,0,1,9,8,605,1,4,2,4
3490,3491,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,9,8,608,1,2,1,2
3522,3523,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,9,8,605,2,2,10,4
3554,3555,2,2,5,0,0,1,1,0,1,1,0,0,1,1,1,0,1,9,8,605,2,2,9,4
3558,3559,1,1,6,0,1,1,1,0,1,0,0,1,1,0,0,0,0,9,8,603,2,4,5,2
3672,3673,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,601,2,3,5,1
3896,3897,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,9,8,603,2,2,11,1
3937,3938,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,8,609,2,2,2,1
3938,3939,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,601,2,3,5,1
