,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
47,48,1,1,6,5,5,5,4,4,5,5,2,2,5,1,5,4,5,12,11,1102,2,3,7,3
50,51,1,1,1,4,5,4,5,5,4,4,3,3,5,0,4,3,5,12,11,1214,2,3,8,1
51,52,1,1,6,3,4,5,3,3,3,3,3,3,2,0,4,3,4,12,11,1272,2,3,12,1
111,112,2,2,6,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,11,1101,1,3,5,2
112,113,2,4,6,4,5,5,3,4,5,5,4,4,5,1,4,5,5,12,11,1102,1,2,6,3
123,124,1,1,1,4,4,5,4,5,5,2,2,5,5,0,5,3,4,12,11,1123,1,3,7,1
124,125,1,1,7,5,5,5,5,5,5,5,4,4,5,1,5,4,5,12,11,1101,1,2,8,0
149,150,1,1,7,4,5,4,5,5,5,4,4,3,5,0,5,3,4,12,11,1179,2,2,8,0
338,339,1,1,6,5,5,5,5,5,5,5,4,5,5,0,5,4,5,12,11,1158,1,3,5,2
361,362,1,1,6,2,4,5,4,2,4,5,3,1,5,1,4,4,4,12,11,1101,1,3,2,3
372,373,2,4,6,5,5,5,4,5,5,5,5,4,5,1,5,5,5,12,11,1222,1,3,1,4
394,395,1,1,6,3,5,5,4,5,4,5,5,5,5,1,5,4,5,12,11,1103,2,2,5,4
397,398,1,1,6,3,4,4,3,3,3,4,3,3,5,0,4,3,5,12,11,1101,1,2,2,3
409,410,2,4,7,5,3,4,5,4,5,5,4,5,5,1,5,5,4,12,11,1101,1,3,8,1
420,421,1,1,7,4,5,5,5,5,5,4,5,5,5,1,5,4,5,12,11,1101,2,2,8,1
469,470,1,1,6,3,4,4,4,5,5,3,3,4,5,1,5,3,5,12,11,1114,2,3,5,1
475,476,1,1,6,5,4,4,4,4,4,4,4,4,4,1,3,4,4,12,11,1101,2,2,2,1
728,729,1,1,1,4,5,4,4,3,4,4,2,3,5,0,4,3,4,12,11,1101,1,2,5,1
759,760,1,1,1,5,5,4,4,4,4,5,4,4,5,1,5,4,5,12,11,1120,1,2,8,1
799,800,2,4,1,5,5,5,5,5,5,5,3,5,5,1,4,4,4,12,11,1135,2,2,7,1
800,801,2,2,7,4,4,4,4,4,4,3,3,3,5,0,4,3,3,12,11,1101,2,3,3,1
801,802,1,1,6,5,3,4,4,5,3,5,3,4,5,0,4,4,2,12,11,1101,1,3,5,2
819,820,1,1,1,5,4,5,5,5,5,5,4,5,5,0,5,4,5,12,11,1208,1,2,1,1
821,822,1,1,7,4,4,2,3,5,5,5,2,2,4,1,4,4,4,12,11,1101,2,2,8,0
853,854,1,1,1,5,5,5,5,5,5,5,4,5,5,1,5,4,5,12,11,1101,1,3,5,1
856,857,1,1,5,5,5,5,5,3,5,3,5,3,5,0,4,4,4,12,11,1107,2,2,9,3
1056,1057,1,1,1,4,5,4,5,5,4,4,5,4,5,1,5,3,5,11,11,1112,1,2,5,1
1057,1058,2,4,6,4,5,4,5,3,4,3,2,3,5,1,5,4,5,11,11,1101,1,3,5,2
1079,1080,1,1,1,5,4,4,4,4,4,4,5,4,5,0,4,3,4,11,11,1101,2,3,2,4
1230,1231,1,1,1,3,5,4,4,5,3,3,1,3,5,0,4,4,4,11,11,1158,1,3,5,2
1272,1273,2,4,7,3,4,3,4,1,4,4,4,4,5,1,5,4,5,11,11,1140,1,3,8,1
1273,1274,2,4,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,11,11,1104,2,3,5,1
1296,1297,1,1,1,5,5,5,5,5,5,5,1,5,5,0,5,3,4,11,11,1101,2,3,2,2
1301,1302,1,1,6,4,3,4,3,3,3,3,2,3,4,1,3,4,3,11,11,1101,1,2,2,4
1302,1303,1,1,6,4,4,5,4,5,4,4,5,4,4,1,5,4,4,11,11,1101,2,2,2,2
1368,1369,1,1,1,4,5,4,5,4,4,4,4,4,5,0,4,4,4,11,11,1150,2,3,5,2
1371,1372,1,1,5,5,5,5,5,5,4,3,4,4,5,0,4,3,5,11,11,1101,1,2,2,5
1445,1446,1,1,6,1,5,5,3,3,3,3,2,4,4,0,3,4,3,11,11,1101,1,2,5,1
1500,1501,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,4,5,11,11,1101,2,3,9,4
