,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
23,24,2,4,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,12,10,1002,1,3,2,3
37,38,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,12,10,1005,2,2,10,4
72,73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,12,10,1001,1,2,4,1
116,117,1,1,7,1,1,1,1,0,1,1,0,1,1,1,1,1,1,12,10,1010,1,2,7,1
118,119,2,2,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12,10,1002,2,2,1,1
143,144,2,4,6,1,1,0,0,0,1,0,0,0,1,0,0,0,1,12,10,1002,2,3,9,2
144,145,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,12,10,1002,2,3,1,1
146,147,1,1,7,0,1,1,0,0,1,1,1,0,1,0,0,0,0,12,10,1002,1,1,8,0
168,169,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,12,10,1001,2,3,2,3
233,234,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,12,10,1002,1,2,2,2
343,344,1,1,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,12,10,1002,2,3,2,1
346,347,2,4,6,0,0,0,0,0,0,0,0,0,0,1,1,0,1,12,10,1001,2,2,1,4
347,348,1,1,6,0,1,0,1,1,1,1,1,1,1,1,0,0,0,12,10,1009,2,2,2,1
436,437,2,2,5,1,1,1,1,1,1,1,1,1,1,0,0,1,1,12,10,1002,1,2,4,2
439,440,1,1,5,1,1,1,0,0,0,1,0,1,1,0,1,0,1,12,10,1001,2,2,10,4
440,441,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,12,10,1002,2,2,12,1
493,494,2,3,5,1,1,1,1,1,1,0,0,0,1,0,1,1,1,12,10,1006,2,2,3,3
810,811,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,1064,2,3,2,1
812,813,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,12,10,1036,2,2,9,1
813,814,2,2,6,0,0,1,1,0,0,0,0,0,1,0,0,0,0,12,10,1001,1,2,4,3
839,840,1,1,5,1,1,1,1,1,1,1,1,1,1,0,1,0,1,12,10,1068,1,2,8,1
840,841,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,12,10,1012,1,2,5,1
843,844,1,1,6,1,1,1,1,1,0,1,0,0,1,0,0,0,0,12,10,1001,2,2,5,1
844,845,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,10,1001,2,2,8,1
1048,1049,2,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,10,1001,1,3,10,5
1072,1073,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,11,10,1006,1,2,8,1
1094,1095,2,4,6,1,1,1,1,0,0,0,0,0,1,1,1,0,0,11,10,1002,1,2,2,3
1095,1096,2,4,5,0,1,1,1,1,0,1,0,0,0,1,1,0,0,11,10,1002,1,3,7,2
1285,1286,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,10,1001,2,2,5,3
1286,1287,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,1005,1,2,2,4
