,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
7997,7998,2,2,1,3,4,3,3,3,3,3,3,3,4,4,4,3,4,4,3,401,2,1,3,3
7998,7999,1,1,1,3,3,4,2,2,2,3,1,3,3,1,2,3,2,4,3,401,2,2,3,1
7999,8000,1,1,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,97,6475,1,2,5,4
8000,8001,2,4,4,5,4,5,4,4,4,3,4,4,4,4,4,4,4,4,3,401,1,2,3,2
8001,8002,1,1,1,5,5,5,5,5,5,5,3,3,5,5,5,5,5,4,97,5337,2,3,12,1
8002,8003,1,1,1,5,4,5,4,4,5,5,4,5,5,5,5,4,5,4,9,848,1,2,7,2
8003,8004,2,4,6,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,401,2,1,4,1
8004,8005,2,2,1,4,4,4,5,4,5,5,2,4,4,4,4,4,4,4,12,1408,2,2,12,2
8005,8006,2,4,6,3,5,4,4,5,5,5,3,4,5,5,5,4,5,4,16,5199,1,3,2,2
8006,8007,1,1,1,4,3,5,4,3,4,5,3,5,5,5,5,4,4,4,11,1101,1,4,5,1
8007,8008,1,1,1,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,14,1702,1,2,4,1
8008,8009,2,4,6,4,4,4,5,4,4,3,3,4,5,5,5,5,5,4,11,1101,1,2,2,4
8009,8010,1,1,1,3,5,5,4,5,5,5,3,3,4,5,5,4,5,4,7,5001,2,2,5,1
8010,8011,1,1,1,4,4,4,4,4,4,4,4,4,4,2,4,3,4,4,7,5188,1,2,5,1
8011,8012,1,1,5,5,5,5,5,5,5,4,5,4,5,4,4,3,5,4,10,1010,2,1,10,4
8012,8013,1,1,5,5,5,5,4,5,5,4,4,5,5,4,5,4,5,4,9,829,1,2,7,3
8014,8015,1,1,1,4,5,5,4,4,5,4,3,4,4,5,5,4,5,4,6,747,2,2,12,1
8015,8016,2,2,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,4,10,1002,1,2,3,3
8016,8017,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,9,832,2,2,8,0
8018,8019,2,4,5,4,4,4,5,4,5,3,4,4,5,5,5,5,5,4,10,1015,1,3,2,3
8019,8020,1,1,1,5,4,5,4,4,4,4,3,3,3,2,4,4,4,4,12,1333,2,2,8,1
8022,8023,2,3,4,5,5,4,4,4,4,2,2,3,4,4,4,4,3,4,3,401,2,1,3,3
8023,8024,2,4,1,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,3,401,2,2,4,1
8024,8025,2,2,1,1,4,4,4,4,3,3,3,3,5,2,3,4,3,4,3,401,1,2,1,2
8025,8026,1,1,5,3,5,4,5,4,4,3,3,3,4,4,4,3,4,4,12,1305,1,2,8,1
8027,8028,1,1,1,4,5,4,4,4,4,3,3,3,3,4,4,4,4,4,97,5009,1,2,2,1
8028,8029,2,2,1,4,4,4,4,4,4,4,4,3,5,5,5,4,4,4,4,402,2,1,1,2
8031,8032,1,1,1,5,4,5,5,5,5,5,5,4,5,4,5,5,5,4,12,1303,1,2,7,2
8032,8033,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,9,808,2,2,4,1
8033,8034,1,1,6,5,5,5,4,4,4,5,5,4,4,4,4,3,5,4,8,616,1,2,1,1
8034,8035,1,1,1,3,2,3,3,4,4,3,3,3,3,4,4,2,3,4,4,402,1,4,3,1
8036,8037,1,1,1,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,402,2,2,3,1
8037,8038,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,9,829,2,2,4,1
8038,8039,1,1,1,4,5,5,5,4,4,3,3,4,5,4,5,4,5,4,11,1101,1,2,2,1
8039,8040,2,3,1,3,3,3,2,3,3,3,2,2,3,3,4,5,3,4,7,5001,2,2,2,2
8041,8042,2,4,4,3,5,5,5,5,5,5,4,5,5,4,5,5,5,4,6,701,2,2,2,1
8042,8043,1,1,1,4,5,4,3,4,3,3,3,2,4,3,4,4,4,4,7,5164,1,3,5,3
8043,8044,1,1,1,4,4,5,5,3,3,5,4,3,5,4,5,4,4,4,9,832,1,2,7,2
8044,8045,1,1,1,4,5,4,4,4,4,4,4,4,4,4,5,4,4,4,6,701,2,2,2,2
8045,8046,1,1,5,5,5,5,5,5,5,3,5,4,5,5,4,4,4,4,9,815,1,2,8,1
8046,8047,1,1,5,3,4,5,4,4,4,5,4,5,5,2,4,3,4,4,8,605,2,3,10,4
8047,8048,1,1,5,5,4,3,4,4,4,4,3,3,5,4,4,4,5,4,16,5236,2,3,8,1
8048,8049,1,1,7,5,5,5,1,5,5,5,1,5,5,3,3,4,4,4,16,5513,1,2,8,1
8049,8050,2,4,6,5,5,5,3,4,5,3,3,4,5,5,5,5,5,4,16,6296,1,3,5,1
8050,8051,2,4,6,5,4,4,5,5,4,4,3,4,4,5,5,4,4,4,10,1024,1,2,2,4
8052,8053,1,1,4,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,402,2,2,1,3
8053,8054,1,1,6,3,4,5,5,5,3,3,3,4,4,4,4,4,4,4,9,802,1,2,1,2
8054,8055,1,1,1,5,5,5,5,5,5,5,4,5,5,5,5,3,5,4,7,5001,2,2,2,1
8055,8056,1,1,1,4,5,5,5,5,3,4,3,5,5,5,5,5,5,4,97,5112,2,2,8,1
8056,8057,1,1,1,2,4,5,5,4,4,4,3,4,5,5,4,4,5,4,7,5164,1,2,2,1
8057,8058,1,1,1,2,5,4,4,4,5,5,2,3,5,5,5,4,5,4,7,6049,1,3,5,1
8058,8059,2,2,4,3,4,4,3,4,4,4,3,4,4,4,5,4,4,4,6,701,2,3,4,2
8059,8060,1,1,1,4,4,4,3,3,5,5,3,4,4,3,4,4,4,4,6,701,1,2,4,2
8060,8061,1,1,5,5,5,5,5,5,5,5,4,4,5,4,5,4,5,4,9,803,2,3,5,1
8061,8062,2,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,97,5181,2,2,7,5
8062,8063,1,1,1,3,5,4,4,4,5,5,3,3,4,4,4,4,4,4,10,1002,1,2,5,2
8063,8064,1,1,1,5,5,5,5,4,5,5,5,5,5,5,5,4,5,4,10,1010,1,2,5,3
8064,8065,2,2,4,4,5,5,5,5,4,4,3,4,5,5,5,5,5,4,6,716,2,2,8,0
8065,8066,1,1,1,5,5,4,5,5,5,4,5,5,5,5,5,4,5,4,11,1224,2,2,3,1
8066,8067,1,1,1,5,5,5,5,5,5,5,5,3,5,5,5,5,5,4,97,5747,1,2,2,3
8067,8068,2,2,1,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,1,9,2,1,9,4
8068,8069,1,1,1,3,4,5,4,3,5,4,3,3,4,4,5,3,4,4,1,12,2,2,6,4
8069,8070,2,3,1,4,4,4,4,4,4,4,4,3,4,5,5,4,5,4,1,123,2,2,4,1
8070,8071,1,1,1,3,4,5,5,4,4,4,3,4,4,3,4,3,4,4,1,60,1,1,7,3
8071,8072,1,1,1,3,4,5,5,3,4,3,4,3,3,4,4,4,4,4,1,3,1,2,5,2
8072,8073,2,2,1,3,4,4,4,4,4,4,4,3,4,4,5,4,4,4,1,116,1,2,3,3
8073,8074,1,1,1,4,4,4,4,4,4,4,2,4,4,3,5,3,4,4,2,205,2,1,4,4
8074,8075,1,1,1,3,3,4,4,3,4,4,3,4,4,3,4,3,3,4,2,202,2,1,9,3
8075,8076,2,3,1,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,1,21,1,1,11,5
8076,8077,1,1,1,3,4,4,4,4,4,4,2,3,4,3,4,3,4,4,2,202,1,1,4,5
8077,8078,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,86,1,2,3,2
8078,8079,2,2,1,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,2,11,1
8079,8080,2,3,1,4,5,5,5,4,5,4,4,3,4,5,4,4,4,4,1,2,2,2,8,1
8080,8081,2,4,1,3,3,4,4,2,5,3,3,3,4,4,4,4,4,4,1,3,1,2,11,1
8081,8082,2,4,5,4,5,5,5,3,5,4,4,4,4,5,4,4,4,4,1,116,1,1,7,5
