,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
36,37,2,4,7,5,4,5,4,5,5,4,5,4,5,0,4,4,4,12,15,5540,1,2,8,0
43,44,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,4,5,12,15,5152,1,1,2,4
44,45,1,1,6,5,5,4,3,5,5,5,1,3,5,0,4,3,5,12,15,6474,2,2,3,1
48,49,1,1,7,4,4,3,5,4,4,5,4,3,4,1,5,3,4,12,15,5765,1,1,8,0
64,65,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,15,5037,2,1,9,2
81,82,1,1,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,15,5536,2,2,1,1
82,83,1,1,7,3,5,4,4,4,5,4,1,3,5,0,5,5,5,12,15,5536,1,1,8,0
83,84,1,1,6,2,3,4,5,4,3,2,1,3,3,0,4,4,4,12,15,5020,1,1,8,0
84,85,2,4,7,5,5,5,5,5,4,3,4,2,5,1,5,3,5,12,15,5210,1,2,8,0
95,96,1,1,1,5,5,5,5,3,5,5,2,4,4,0,5,4,5,12,15,5539,1,2,6,1
119,120,1,1,6,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,15,5073,1,2,6,2
274,275,2,3,7,5,5,5,4,5,5,5,4,4,5,1,5,4,5,12,15,5296,1,2,8,0
275,276,2,3,7,5,5,5,2,5,5,5,1,2,5,1,5,5,5,12,15,5536,1,2,8,0
278,279,1,1,5,4,4,4,4,4,4,4,4,4,4,0,3,4,4,12,15,5540,2,2,8,1
279,280,2,2,2,5,5,5,5,5,5,5,5,5,5,0,4,4,4,12,15,5540,2,3,2,1
379,380,1,1,6,5,5,5,5,5,5,5,4,5,5,1,5,4,4,12,15,5755,2,3,2,2
408,409,2,3,7,4,4,4,4,4,4,4,4,5,4,1,5,5,5,12,15,5073,2,2,8,1
410,411,2,4,6,5,4,4,4,4,4,4,3,3,5,1,4,4,4,12,15,5387,1,2,2,4
448,449,1,1,6,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,15,5037,2,2,5,2
450,451,2,4,7,5,5,5,3,4,4,4,4,3,4,1,4,4,4,12,15,5037,2,2,8,0
495,496,1,1,1,5,5,5,5,3,3,5,2,3,5,0,4,4,4,12,15,5020,2,3,5,2
499,500,1,1,5,4,5,5,4,5,4,4,4,4,5,0,4,4,4,12,15,5037,1,9,8,0
500,501,2,4,6,4,5,4,4,5,4,4,5,4,5,1,5,4,4,12,15,5037,1,1,3,1
501,502,2,4,6,5,5,5,5,5,5,5,4,5,5,1,5,4,5,12,15,5077,1,2,7,3
502,503,1,1,6,5,5,5,4,5,5,5,5,5,5,1,5,4,5,12,15,5037,1,2,3,1
503,504,2,4,6,5,5,5,3,5,5,5,4,5,5,1,5,4,5,12,15,5562,1,9,7,2
513,514,2,2,5,5,5,5,5,5,5,4,4,5,5,1,5,4,5,12,15,5540,1,3,3,3
514,515,1,1,1,5,5,5,5,5,5,5,4,5,5,1,5,4,5,12,15,5540,2,2,2,1
515,516,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,15,5540,1,2,8,0
517,518,1,1,7,5,5,5,5,5,5,5,5,5,5,1,5,4,5,12,15,5536,2,2,8,1
745,746,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,15,5145,2,2,1,1
773,774,1,1,6,5,5,5,5,5,5,5,5,5,5,0,4,4,4,12,15,5037,1,1,6,1
774,775,1,1,6,5,5,5,5,5,5,5,4,4,5,1,5,4,4,12,15,5037,1,2,7,2
786,787,1,1,7,4,5,5,3,5,5,5,5,4,5,0,4,4,5,12,15,5037,2,2,8,1
787,788,1,1,5,4,5,5,5,5,5,5,4,5,5,1,5,4,5,12,15,5037,1,1,5,1
1047,1048,1,1,1,5,5,5,3,5,5,5,4,4,5,0,3,4,4,11,15,5152,1,3,2,1
1052,1053,1,1,6,5,5,5,3,5,5,5,5,5,5,1,5,5,5,11,15,5145,1,2,1,2
1063,1064,1,1,1,5,3,3,3,3,4,3,3,5,5,1,5,4,5,11,15,5152,1,2,1,1
1158,1159,1,1,2,5,4,5,3,5,5,5,3,4,4,0,3,4,3,11,15,5284,1,2,1,1
1159,1160,2,2,5,4,4,4,4,4,4,4,4,4,4,1,5,5,5,11,15,5037,2,3,7,3
1160,1161,2,4,1,5,5,5,4,5,5,5,5,5,5,1,5,4,5,11,15,5037,2,2,7,2
1161,1162,2,4,6,4,5,4,4,4,5,4,4,4,4,0,4,4,5,11,15,5284,1,1,7,2
1209,1210,1,1,2,5,5,3,1,5,4,3,3,3,5,0,3,4,5,11,15,5284,2,2,7,3
