,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
16,17,1,1,7,1,1,0,1,1,1,1,0,0,1,0,1,0,1,12,13,1501,2,2,8,0
35,36,1,1,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12,13,1527,1,3,8,1
57,58,2,2,7,1,1,0,0,1,0,1,0,0,1,1,0,0,0,12,13,1550,1,3,8,1
89,90,2,2,6,0,1,1,1,1,0,0,0,1,1,1,1,0,1,12,13,1501,2,3,5,1
244,245,1,1,7,1,0,0,0,0,0,0,0,0,1,0,0,0,1,12,13,1501,1,2,8,0
330,331,1,1,5,1,1,0,0,0,0,1,1,0,1,0,0,0,0,12,13,1616,1,3,2,1
332,333,1,1,5,1,0,1,0,0,1,1,1,1,1,1,1,0,1,12,13,1501,1,3,11,2
351,352,2,4,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,12,13,1504,1,3,2,3
352,353,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,1501,1,3,2,3
353,354,1,1,6,1,0,1,1,1,1,1,0,0,1,1,1,1,1,12,13,1501,2,2,2,1
389,390,1,1,7,0,0,0,1,0,0,0,0,0,1,1,1,0,1,12,13,1517,1,3,8,1
424,425,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,1502,2,3,5,1
454,455,2,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,13,1552,2,3,2,2
458,459,2,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,13,1501,2,3,11,1
460,461,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,12,13,1502,1,2,12,2
726,727,1,1,7,1,1,0,1,1,0,1,0,0,1,0,0,0,0,12,13,1509,1,3,8,1
763,764,2,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,13,1616,1,3,2,5
782,783,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,13,1501,1,3,7,4
783,784,1,1,5,1,0,0,0,0,1,0,0,1,0,1,1,0,1,12,13,1509,2,2,10,5
1076,1077,2,3,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,11,13,1501,1,1,12,2
1086,1087,1,1,5,0,1,1,1,0,0,0,0,0,1,0,0,0,0,11,13,1501,2,3,11,0
1233,1234,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,11,13,1597,1,2,11,1
1242,1243,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,11,13,1501,2,2,8,1
1260,1261,1,1,5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,11,13,1501,1,2,5,1
1265,1266,2,3,7,1,1,1,1,1,1,1,1,1,1,0,0,0,0,11,13,1501,1,2,8,5
1269,1270,1,1,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,11,13,1501,2,2,11,2
1321,1322,2,2,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11,13,1501,1,2,2,4
1367,1368,2,4,6,0,1,0,1,0,0,0,0,0,1,1,1,1,1,11,13,1524,1,3,2,2
1725,1726,2,2,6,0,1,0,1,0,0,0,0,0,1,1,1,0,0,11,13,1501,1,3,2,3
1726,1727,1,1,6,0,0,1,1,0,1,1,0,1,1,0,0,0,0,11,13,1502,1,3,4,2
1727,1728,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,11,13,1506,2,2,10,4
1756,1757,2,3,6,1,1,1,0,0,0,0,0,0,1,1,1,0,0,11,13,1501,1,3,1,3
1758,1759,2,2,6,1,1,0,1,0,0,0,0,1,1,1,1,0,0,11,13,1501,1,3,2,3
1814,1815,2,2,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,11,13,1544,1,1,3,2
1815,1816,2,2,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,11,13,1620,2,4,5,1
1816,1817,2,2,5,1,1,1,1,1,0,0,0,1,1,1,1,0,1,11,13,1528,2,2,10,4
1817,1818,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,11,13,1513,2,3,3,3
2087,2088,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,10,13,1502,2,3,5,4
2229,2230,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,13,1501,2,1,8,0
2336,2337,1,1,5,1,1,1,0,1,1,1,0,1,1,0,0,0,0,10,13,1516,1,2,4,1
2356,2357,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,13,1645,2,3,4,1
2437,2438,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,10,13,1501,1,2,5,3
2748,2749,2,2,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,10,13,1540,1,2,4,3
2749,2750,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,10,13,1530,1,2,3,1
2778,2779,1,1,6,1,0,0,1,0,0,0,0,1,1,0,1,0,0,10,13,1501,1,3,2,3
2779,2780,1,1,5,1,1,1,0,0,1,1,0,1,1,1,1,0,1,10,13,1522,1,3,10,4
2780,2781,1,1,6,1,0,0,1,0,0,0,0,1,1,0,0,0,0,10,13,1550,2,3,2,3
2788,2789,2,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,13,1532,1,3,5,4
2793,2794,2,3,6,1,1,0,1,0,0,0,0,0,1,1,1,0,1,10,13,1535,1,3,2,3
2796,2797,1,1,6,1,1,1,1,1,1,0,0,0,1,1,1,0,1,10,13,1501,2,3,2,2
2808,2809,2,2,6,1,1,1,1,1,1,1,0,0,1,1,1,1,1,10,13,1501,1,3,2,5
2809,2810,1,1,6,1,0,1,0,0,1,0,0,1,1,0,0,0,0,10,13,1509,1,2,4,2
