,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
9999,10000,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,2,97,5009,1,3,5,1
10000,10001,1,1,3,1,1,0,0,1,1,1,0,0,1,0,1,0,1,2,97,5041,2,1,8,1
10001,10002,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,2,97,5004,2,2,8,1
10002,10003,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,2,97,5143,1,3,5,4
10003,10004,2,4,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,2,3,401,2,2,12,2
10004,10005,1,1,5,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,3,401,1,3,5,1
10005,10006,2,4,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,2,12,1305,2,2,8,1
10007,10008,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,2,4,402,2,2,5,1
10008,10009,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,2,4,402,2,2,2,2
10009,10010,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,2,97,5006,2,2,5,1
10010,10011,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,2,6,720,1,3,2,1
10011,10012,2,4,3,0,1,0,0,1,1,0,0,0,1,1,1,0,0,2,9,822,1,2,7,5
10012,10013,2,4,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,2,4,402,2,2,2,4
10013,10014,1,1,5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,10,1005,2,2,1,1
10014,10015,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,2,7,5670,2,3,8,1
10015,10016,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,9,813,1,3,6,1
10016,10017,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,401,2,3,4,3
10018,10019,1,1,5,1,1,1,1,1,1,1,0,1,1,1,1,0,1,2,8,651,1,1,5,4
10019,10020,2,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,16,5199,1,2,2,2
10020,10021,1,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8,603,1,2,2,3
10021,10022,1,1,6,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,9,807,1,2,1,1
10024,10025,2,4,6,0,1,1,1,1,1,0,0,1,1,1,1,1,1,2,12,1383,1,2,3,3
10025,10026,2,2,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,2,4,402,2,2,8,1
10026,10027,1,1,6,0,1,1,0,0,1,0,0,0,1,1,0,0,0,2,16,5199,1,2,5,1
10028,10029,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,2,7,5883,2,2,8,1
10029,10030,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5001,2,2,1,2
