,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
5,6,1,1,7,5,5,5,5,5,5,5,3,5,5,1,5,5,5,12,14,1796,1,2,12,1
6,7,2,2,7,5,5,5,5,5,5,5,3,4,5,1,5,5,5,12,14,1701,1,2,5,2
8,9,1,1,1,4,5,5,5,5,5,5,3,4,5,1,5,5,5,12,14,1703,1,2,2,2
9,10,1,1,6,5,5,4,4,5,5,4,3,5,5,1,5,3,5,12,14,1703,2,1,4,0
45,46,1,1,1,5,5,5,5,5,5,5,4,3,5,1,5,4,5,12,14,1707,2,2,8,1
106,107,2,2,5,4,3,4,4,5,4,5,4,3,5,0,3,4,4,12,14,1702,1,3,3,2
107,108,1,1,7,5,5,5,5,5,5,4,3,5,5,1,4,3,5,12,14,1701,2,1,9,1
155,156,2,4,6,4,3,5,5,3,5,4,3,3,4,1,5,4,4,12,14,1701,1,2,5,2
156,157,1,1,6,5,4,5,4,5,5,4,4,4,5,0,4,4,5,12,14,1701,1,3,2,1
157,158,1,1,7,5,5,5,3,5,5,4,3,5,5,1,4,4,5,12,14,1702,1,2,8,1
160,161,1,1,6,5,4,5,4,5,5,5,3,3,5,0,4,4,5,12,14,1709,2,2,2,1
227,228,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,14,1701,2,2,3,1
271,272,1,1,7,4,5,5,3,3,5,5,4,2,5,0,4,3,4,12,14,1703,2,1,8,0
273,274,2,3,4,4,3,3,3,4,4,4,3,3,3,0,3,4,4,12,14,1752,2,1,7,1
277,278,2,4,1,5,4,4,5,4,5,5,4,3,5,1,4,4,4,12,14,1702,2,3,5,3
280,281,2,4,6,5,5,5,3,4,4,4,4,3,5,0,4,5,5,12,14,1728,1,2,3,2
300,301,2,2,1,5,5,4,4,5,5,5,4,3,5,1,4,4,4,12,14,1704,1,1,2,1
303,304,1,1,6,4,4,4,4,5,3,3,3,4,4,0,4,4,4,12,14,1741,1,2,7,2
304,305,2,2,5,5,5,5,5,5,5,5,5,5,5,0,4,4,5,12,14,1701,2,2,3,1
305,306,2,2,5,1,5,5,4,4,5,3,3,2,5,0,3,5,3,12,14,1702,2,1,4,1
359,360,1,1,1,5,5,5,4,5,5,5,4,5,5,1,5,3,5,12,14,1707,1,2,12,2
360,361,1,1,3,4,5,5,4,5,5,5,5,4,5,0,5,3,4,12,14,1752,2,3,8,1
366,367,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,4,5,12,14,1721,1,2,2,2
403,404,1,1,6,3,4,5,4,4,3,3,4,5,4,0,4,4,2,12,14,1701,1,2,2,2
404,405,2,4,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,14,1702,2,1,4,1
406,407,2,3,7,2,5,4,5,4,3,4,5,5,5,1,4,4,4,12,14,1703,2,2,11,1
432,433,2,4,5,5,5,4,4,4,5,5,5,3,5,0,4,4,4,12,14,1702,2,1,8,0
