,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
15,16,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,97,6496,2,1,12,1
43,44,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,4,5,12,15,5152,1,1,2,4
59,60,1,1,5,5,5,5,5,5,5,4,4,4,5,1,5,4,5,12,9,873,1,3,5,1
75,76,2,4,5,5,5,5,5,5,5,5,4,5,5,1,5,5,5,12,8,601,1,3,5,2
94,95,1,1,5,3,5,5,5,5,5,5,4,5,5,0,4,3,5,12,9,904,2,3,5,1
106,107,2,2,5,4,3,4,4,5,4,5,4,3,5,0,3,4,4,12,14,1702,1,3,3,2
109,110,2,4,5,4,4,4,3,4,4,3,3,3,4,1,4,4,4,12,3,401,2,1,5,4
151,152,1,1,5,5,4,5,5,5,5,5,4,5,5,0,5,4,5,12,9,805,1,2,1,2
154,155,1,1,5,4,4,4,2,3,4,4,2,2,5,0,3,3,3,12,97,5008,2,2,5,2
161,162,1,1,5,4,4,5,4,5,5,4,4,4,5,0,4,4,4,12,6,701,2,1,8,0
191,192,2,4,5,4,4,5,5,4,5,4,4,4,4,1,5,5,5,12,1,3,2,2,4,2
192,193,2,2,5,4,4,4,4,4,4,4,4,4,4,0,4,4,4,12,1,2,2,1,8,0
206,207,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,6,701,2,2,7,2
278,279,1,1,5,4,4,4,4,4,4,4,4,4,4,0,3,4,4,12,15,5540,2,2,8,1
294,295,2,4,5,4,4,3,4,4,4,4,4,4,4,0,4,4,4,12,1,5,2,1,3,5
304,305,2,2,5,5,5,5,5,5,5,5,5,5,5,0,4,4,5,12,14,1701,2,2,3,1
305,306,2,2,5,1,5,5,4,4,5,3,3,2,5,0,3,5,3,12,14,1702,2,1,4,1
308,309,2,4,5,3,3,3,4,3,4,4,3,3,4,0,4,4,4,12,1,39,2,4,9,4
309,310,2,4,5,4,4,4,4,3,3,3,4,3,3,0,4,4,4,12,1,8,2,2,3,1
318,319,2,4,5,2,4,4,5,5,4,3,3,4,3,1,5,5,5,12,1,39,2,4,4,1
326,327,1,1,5,4,4,4,4,5,5,4,4,4,4,0,4,4,4,12,3,401,2,2,8,0
330,331,1,1,5,5,5,3,4,4,3,5,5,4,5,0,4,4,4,12,13,1616,1,3,2,1
332,333,1,1,5,5,4,5,4,4,5,5,5,5,5,1,5,4,5,12,13,1501,1,3,11,2
350,351,2,4,5,5,4,5,4,4,4,3,3,3,4,1,5,4,5,12,8,605,2,2,2,1
404,405,2,4,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,14,1702,2,1,4,1
417,418,2,2,5,5,5,4,5,5,5,5,4,4,5,1,5,3,5,12,9,814,1,2,2,5
418,419,2,3,5,5,5,5,5,5,5,5,5,5,5,1,5,5,4,12,9,846,2,2,8,1
421,422,2,2,5,4,4,4,4,4,4,4,4,4,4,1,5,4,4,12,9,847,1,2,2,4
432,433,2,4,5,5,5,4,4,4,5,5,5,3,5,0,4,4,4,12,14,1702,2,1,8,0
435,436,2,4,5,4,4,5,5,5,4,3,4,4,3,1,5,4,4,12,12,1355,2,3,5,3
436,437,2,2,5,5,5,5,5,5,5,5,5,5,5,0,4,5,5,12,10,1002,1,2,4,2
439,440,1,1,5,5,5,5,4,4,4,5,4,5,5,0,5,3,5,12,10,1001,2,2,10,4
451,452,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,9,841,2,2,8,1
454,455,2,3,5,3,2,3,2,3,3,3,2,3,3,1,2,3,2,12,13,1552,2,3,2,2
458,459,2,4,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,13,1501,2,3,11,1
459,460,1,1,5,5,5,5,5,4,4,5,3,2,5,1,5,5,5,12,97,5013,2,4,5,1
461,462,2,4,5,5,5,5,5,5,5,5,3,3,5,1,5,5,5,12,14,1703,2,1,11,1
485,486,2,4,5,5,5,5,5,5,5,5,4,3,5,1,5,4,4,12,9,807,1,2,2,3
489,490,1,1,5,5,4,5,4,5,4,4,3,5,5,1,5,3,5,12,97,6490,1,2,8,1
493,494,2,3,5,5,5,5,5,5,5,1,3,4,5,0,5,5,5,12,10,1006,2,2,3,3
498,499,1,1,5,5,5,4,5,5,4,4,4,4,5,1,5,4,4,12,9,805,2,3,4,1
499,500,1,1,5,4,5,5,4,5,4,4,4,4,5,0,4,4,4,12,15,5037,1,9,8,0
513,514,2,2,5,5,5,5,5,5,5,4,4,5,5,1,5,4,5,12,15,5540,1,3,3,3
515,516,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,15,5540,1,2,8,0
527,528,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,4,5,12,9,801,2,3,6,4
538,539,2,4,5,5,5,5,5,5,5,5,5,5,5,0,4,4,4,12,2,210,1,2,7,1
539,540,2,2,5,5,5,3,3,5,3,5,3,3,5,0,4,4,4,12,2,210,1,2,7,1
542,543,2,4,5,4,4,4,4,4,4,4,4,4,4,0,4,4,3,12,2,231,2,1,9,3
577,578,2,4,5,4,4,4,4,4,4,4,4,4,4,0,4,5,4,12,2,206,2,2,7,1
688,689,2,4,5,3,4,4,4,4,4,4,4,3,3,1,4,4,4,12,1,9,2,2,4,1
707,708,2,2,5,4,5,5,5,5,5,5,5,5,5,1,5,5,5,12,5,501,2,2,12,2
