nat,nation_name
1,일본
2,중국
3,홍콩
4,싱가포르
5,대만
6,태국
7,말레이시아
8,호주
9,미국
10,캐나다
11,영국
12,독일
13,프랑스
14,러시아
15,중동
16,인도
97,기타
