,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
4334,4335,2,4,6,3,5,3,4,5,4,4,4,4,5,1,5,4,4,8,3,401,2,1,2,2
4329,4330,1,1,6,3,5,5,4,5,5,5,4,5,5,0,4,4,5,8,8,601,1,3,1,3
8005,8006,2,4,6,3,5,4,4,5,5,5,3,4,5,1,5,4,5,4,16,5199,1,3,2,2
7241,7242,2,3,6,5,5,5,5,5,4,5,5,5,5,1,5,5,5,5,9,855,1,3,2,3
6489,6490,2,4,6,5,5,5,5,5,5,5,5,5,5,1,5,4,5,6,15,5077,1,2,7,2
3254,3255,2,4,6,5,5,5,5,5,5,5,5,5,5,1,5,5,5,9,97,5009,1,2,3,1
1486,1487,2,4,6,5,5,5,5,5,5,5,5,5,5,1,5,4,5,11,15,5037,2,1,7,2
8207,8208,2,3,6,4,4,4,4,3,3,4,4,3,3,0,4,4,4,4,1,4,1,2,1,2
8553,8554,2,2,6,5,5,5,5,5,5,5,5,5,5,0,4,5,5,4,2,212,2,1,4,1
7394,7395,2,3,6,4,4,5,5,4,4,4,4,4,5,0,3,4,4,5,13,1504,1,2,2,3
11402,11403,1,1,6,5,5,4,5,4,4,5,5,4,5,0,4,4,4,1,9,801,1,2,1,2
11015,11016,1,1,6,4,5,5,3,4,5,3,2,4,5,0,4,4,4,1,16,6296,1,2,2,2
9304,9305,2,2,6,5,5,5,5,5,4,5,5,5,5,0,4,4,4,3,6,701,2,3,12,4
6640,6641,1,1,6,5,5,5,5,5,5,5,5,5,5,1,4,5,5,6,2,274,2,3,9,2
1316,1317,2,4,6,5,5,5,5,5,4,5,5,5,5,1,5,5,5,11,8,601,1,3,2,1
9015,9016,1,1,6,1,4,4,5,4,3,3,3,3,4,0,3,4,4,3,9,849,1,3,1,2
7612,7613,1,1,6,4,4,4,4,4,4,4,4,4,4,1,5,5,5,5,5,501,2,2,3,2
7514,7515,1,1,6,3,3,4,4,4,4,4,4,4,4,0,4,4,4,5,2,206,2,3,5,2
4536,4537,2,3,6,5,5,5,5,5,5,5,3,5,5,1,5,4,5,8,4,402,1,2,2,2
10476,10477,2,4,6,5,5,5,5,5,4,4,4,4,5,0,4,4,4,2,15,5037,1,1,4,3
1750,1751,1,1,6,5,5,5,5,5,5,4,5,5,5,0,5,3,5,11,10,1012,2,1,7,3
4757,4758,2,4,6,4,4,5,5,5,4,5,5,5,5,0,4,4,4,8,2,209,2,1,7,2
3742,3743,2,3,6,4,4,4,4,4,4,4,3,3,3,0,4,5,5,9,5,501,2,2,3,2
10425,10426,2,4,6,5,5,5,5,4,4,4,4,5,5,1,4,4,4,2,4,402,2,3,2,2
5685,5686,2,4,6,3,3,4,4,4,3,3,3,3,3,0,4,4,4,7,1,2,1,2,7,4
2226,2227,1,1,6,4,4,3,4,3,5,4,3,4,4,1,4,4,4,10,11,1112,2,3,12,5
10815,10816,1,1,6,5,5,4,4,5,3,3,4,5,5,1,5,3,4,2,13,1501,1,3,12,2
4262,4263,2,4,6,5,5,5,5,5,5,5,5,5,5,1,5,5,5,8,16,5513,1,3,3,2
4808,4809,2,4,6,4,5,3,4,3,3,3,4,5,5,1,5,4,5,8,1,1,2,2,3,2
3770,3771,1,1,6,4,4,4,2,4,4,4,3,5,5,0,4,3,4,9,2,216,1,2,4,1
3381,3382,2,3,6,5,4,4,5,4,4,3,2,4,4,0,4,4,4,9,4,402,2,2,2,3
7674,7675,1,1,6,5,5,5,4,4,4,4,3,3,5,0,4,4,5,5,2,242,1,2,3,3
97,98,1,1,6,5,4,4,4,4,4,4,3,4,5,1,5,5,5,12,8,605,1,2,7,3
1725,1726,2,2,6,4,5,4,5,4,3,4,3,4,5,1,5,4,4,11,13,1501,1,3,2,3
5058,5059,2,4,6,4,4,4,5,4,4,5,3,4,4,0,5,4,4,8,4,402,2,3,2,3
7227,7228,2,4,6,5,5,4,3,4,4,4,3,3,5,1,5,4,4,5,16,5193,1,2,2,2
2059,2060,2,4,6,5,5,5,3,4,4,4,3,3,4,0,5,4,4,10,16,5513,1,3,12,2
7115,7116,1,1,6,4,4,4,4,4,4,4,3,3,4,0,4,3,4,5,7,5024,2,2,8,1
9577,9578,2,4,6,5,4,5,4,3,3,3,4,4,4,1,4,3,3,3,1,16,1,3,3,3
11632,11633,2,2,6,5,4,5,4,4,4,4,4,4,5,0,4,3,4,1,13,1501,1,3,2,3
