,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
4909,4910,1,1,6,5,5,5,5,5,5,5,5,5,5,1,5,3,5,8,10,1002,1,3,2,3
1360,1361,1,1,6,5,5,4,5,5,5,4,3,4,5,0,5,3,5,11,9,802,2,3,2,1
338,339,1,1,6,5,5,5,5,5,5,5,4,5,5,0,5,4,5,12,11,1158,1,3,5,2
10835,10836,2,4,6,3,4,5,5,4,4,4,4,4,5,1,5,4,4,2,9,835,1,3,12,4
6709,6710,1,1,6,5,5,5,5,5,5,5,4,3,5,1,5,5,5,6,97,5063,1,3,2,2
9017,9018,2,4,6,4,5,4,3,4,4,4,3,4,4,0,4,4,5,3,6,701,2,2,8,1
10415,10416,2,3,6,5,5,5,5,5,5,5,5,5,5,1,5,5,5,2,15,5536,1,2,5,2
1398,1399,1,1,6,4,5,5,3,4,5,4,3,4,4,0,3,4,5,11,10,1006,1,4,2,2
10295,10296,2,2,6,3,3,3,3,3,3,3,3,3,3,0,3,3,3,2,9,816,2,2,2,1
6359,6360,2,4,6,4,4,3,4,4,4,4,3,4,5,1,4,4,4,6,2,204,2,2,3,2
7773,7774,2,3,6,2,3,4,5,4,3,3,3,5,5,1,5,5,5,5,13,1501,1,3,2,3
7495,7496,1,1,6,4,4,4,3,3,3,3,3,3,4,0,3,4,3,5,2,300,1,2,7,2
4935,4936,2,3,6,4,4,5,5,4,3,3,4,4,4,1,5,4,4,8,11,1101,1,3,2,3
2339,2340,2,2,6,5,5,5,5,5,5,4,4,5,5,1,5,5,5,10,16,5520,1,3,3,1
7538,7539,2,4,6,4,4,2,4,4,3,3,3,3,3,0,4,4,4,5,1,32,1,2,3,3
727,728,1,1,6,3,4,4,4,5,4,4,3,3,4,1,5,4,4,12,16,5634,1,3,3,3
1550,1551,1,1,6,4,4,4,4,4,4,4,4,4,4,0,4,4,4,11,2,201,1,2,7,1
9259,9260,2,3,6,5,4,4,4,4,5,5,3,3,3,0,4,4,4,3,11,1158,1,2,6,3
11294,11295,1,1,6,4,5,2,1,3,2,3,1,3,5,0,2,4,3,1,97,5010,2,3,2,1
411,412,2,4,6,5,5,5,4,5,5,5,3,4,5,1,5,3,5,12,16,5236,1,3,2,1
6860,6861,2,4,6,4,4,4,4,4,4,4,3,4,4,0,4,5,5,6,2,210,1,2,7,2
8734,8735,1,1,6,5,5,5,5,5,5,5,3,5,5,0,4,3,4,4,13,1501,2,3,5,2
7542,7543,2,4,6,2,2,3,2,3,3,2,2,2,2,0,2,3,3,5,1,2,1,2,2,5
1460,1461,1,1,6,5,5,5,5,5,5,5,5,5,5,0,4,4,4,11,9,813,1,2,1,2
6617,6618,2,3,6,4,3,4,4,4,3,4,4,4,4,1,4,4,4,6,2,201,2,2,12,2
4855,4856,1,1,6,4,5,4,5,4,5,4,4,5,5,0,4,3,4,8,13,1501,1,3,2,3
3549,3550,2,4,6,4,5,3,5,4,5,4,4,4,5,1,5,5,5,9,11,1101,1,3,2,4
5088,5089,1,1,6,5,5,5,5,5,5,5,5,5,5,0,5,4,4,7,16,5772,1,3,8,1
