,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
5860,5861,2,4,3,4,4,4,4,4,4,4,4,4,4,0,4,4,4,7,5,519,1,2,6,3
10630,10631,2,4,3,5,5,5,5,5,5,3,3,3,5,0,4,5,5,2,5,506,2,1,12,3
3913,3914,1,1,3,5,5,5,5,5,5,5,4,2,5,0,5,4,4,9,4,402,1,3,10,5
3260,3261,1,1,3,5,5,5,5,5,5,5,5,5,5,0,4,5,5,9,6,701,2,2,4,1
307,308,2,3,3,4,4,4,4,3,3,4,3,3,3,0,4,4,4,12,1,1,1,1,1,2
894,895,2,2,3,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,2,201,2,2,12,1
