,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
5240,5241,2,2,3,4,4,4,4,4,4,4,4,4,4,0,4,3,4,7,7,5001,1,4,5,3
2820,2821,1,1,3,4,4,5,5,5,4,5,4,5,4,0,4,4,4,10,12,1301,1,2,7,2
4849,4850,2,3,3,4,5,4,5,5,5,4,5,5,5,1,5,5,5,8,9,803,1,1,8,0
4122,4123,1,1,3,3,5,5,5,4,5,4,5,4,4,1,5,4,5,8,1,1,1,3,2,2
3190,3191,2,4,3,3,3,3,4,3,4,3,3,4,4,0,3,3,3,9,1,69,2,2,9,3
4865,4866,1,1,3,4,4,4,5,5,4,2,2,3,4,0,4,4,4,8,15,5540,2,2,7,2
5470,5471,1,1,3,4,5,4,4,4,4,4,4,4,4,0,4,4,4,7,6,701,2,2,2,1
6494,6495,2,3,3,2,5,4,5,5,5,5,4,3,5,0,5,4,4,6,8,613,2,2,3,1
11036,11037,2,4,3,5,5,5,3,3,4,4,2,4,5,1,4,4,4,1,12,1309,1,2,8,1
3232,3233,1,1,3,5,5,5,5,5,5,5,5,5,5,1,5,5,5,9,16,5193,1,2,7,2
7036,7037,2,3,3,2,4,4,4,4,4,4,3,4,5,1,5,4,4,5,6,701,2,3,2,2
5404,5405,2,2,3,3,3,3,3,4,3,3,2,3,3,0,4,4,4,7,4,402,2,3,3,1
