,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
9503,9504,2,4,4,4,4,4,4,3,3,4,4,3,4,0,4,4,4,3,2,201,2,2,5,1
4540,4541,2,4,4,5,5,5,5,5,5,5,4,5,5,1,5,4,5,8,6,701,1,2,2,2
93,94,2,2,4,4,4,5,4,5,5,5,5,4,5,0,4,4,5,12,4,402,2,2,3,1
635,636,1,1,4,5,5,5,4,4,4,4,4,4,5,1,5,3,5,12,2,240,2,2,5,1
1647,1648,1,1,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,11,2,204,2,2,3,2
11766,11767,1,1,4,5,5,5,2,5,3,5,5,5,5,0,3,4,3,1,2,202,2,9,7,2
2312,2313,2,4,4,4,5,5,5,3,3,4,5,5,4,0,4,4,4,10,1,17,2,1,3,2
6895,6896,2,4,4,5,5,5,5,5,5,5,5,5,5,0,4,4,4,6,2,209,2,2,7,2
3727,3728,2,2,4,5,5,3,5,5,5,5,4,4,4,0,4,4,4,9,2,210,2,2,4,2
3386,3387,1,1,4,5,5,5,5,5,5,4,5,5,5,1,5,4,5,9,8,613,2,2,4,1
8544,8545,1,1,4,4,4,4,4,4,4,4,4,4,4,0,4,3,4,4,2,205,2,2,3,2
7735,7736,2,2,4,5,5,5,5,5,5,5,5,5,5,0,5,4,4,5,2,202,2,2,3,1
10749,10750,1,1,4,4,5,4,5,4,4,5,3,4,5,0,4,5,5,2,2,288,2,4,12,2
4428,4429,2,2,4,5,5,5,5,5,5,5,4,5,5,1,5,4,5,8,6,701,1,2,3,3
2712,2713,2,4,4,4,3,4,4,4,4,3,3,3,3,1,4,4,4,10,1,1,1,1,3,1
5487,5488,2,4,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,7,15,5077,1,3,4,1
9906,9907,2,2,4,4,4,4,4,4,4,4,3,4,4,0,4,4,5,3,2,224,2,2,9,1
9591,9592,1,1,4,5,5,4,2,3,3,4,4,4,4,0,3,4,3,3,2,222,2,2,7,2
7638,7639,1,1,4,5,5,5,3,5,5,5,3,5,5,0,4,4,4,5,2,201,2,2,4,2
1673,1674,1,1,4,4,4,4,5,5,5,5,4,4,5,1,5,3,4,11,1,39,2,4,7,0
1008,1009,1,1,4,4,4,3,3,3,4,3,5,4,3,0,3,4,3,12,2,220,1,3,5,1
8204,8205,2,2,4,2,4,4,4,4,4,4,4,4,4,1,5,4,5,4,1,18,2,1,6,1
5658,5659,2,4,4,3,3,4,4,5,3,3,3,3,4,0,4,4,4,7,1,2,2,1,9,2
7565,7566,2,4,4,3,3,4,4,4,4,4,4,4,4,1,4,4,4,5,1,18,2,2,4,1
11517,11518,1,1,4,5,5,5,5,5,5,5,5,5,5,0,4,4,4,1,5,505,2,2,4,2
11835,11836,2,4,4,4,4,4,4,3,4,4,4,4,4,0,3,3,3,1,2,201,1,2,4,2
715,716,2,4,4,3,3,4,4,4,3,3,3,3,3,1,4,4,4,12,1,2,2,2,4,2
10657,10658,1,1,4,5,5,5,5,5,5,5,5,5,5,0,4,4,4,2,2,209,2,3,1,2
9902,9903,1,1,4,3,3,3,3,3,3,3,3,3,3,0,3,4,5,3,5,504,2,2,12,1
3765,3766,1,1,4,5,5,5,5,5,5,5,3,5,5,0,4,5,3,9,2,215,2,2,2,1
10677,10678,1,1,4,4,4,4,4,3,3,3,2,4,4,0,4,5,4,2,2,210,1,3,2,2
2895,2896,1,1,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,10,2,234,2,2,8,0
11536,11537,1,1,4,4,4,4,4,4,4,4,3,4,4,0,4,3,3,1,2,201,2,2,1,3
1889,1890,2,2,4,5,5,5,5,5,3,4,4,4,4,0,4,4,4,11,2,211,2,3,5,1
8543,8544,2,4,4,4,4,4,5,5,5,5,5,5,5,1,5,4,5,4,2,235,2,1,9,4
11887,11888,2,3,4,5,5,4,4,4,4,5,4,5,5,0,4,4,4,1,2,210,2,2,3,1
988,989,2,4,4,5,5,4,3,4,4,4,3,4,4,0,4,4,4,12,5,501,2,2,4,2
2586,2587,1,1,4,5,5,5,3,5,5,3,4,5,5,0,5,5,5,10,2,220,2,2,5,2
10907,10908,1,1,4,4,4,4,3,4,4,3,4,4,3,1,5,5,5,2,14,1709,2,2,8,1
8472,8473,2,3,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,6,701,2,4,12,1
9846,9847,2,4,4,4,5,4,3,4,3,3,2,3,4,0,5,4,3,3,3,401,2,1,3,3
11341,11342,1,1,4,4,4,4,4,5,5,4,4,4,5,0,4,4,4,1,6,701,2,9,9,3
2552,2553,2,2,4,5,5,3,2,4,5,5,4,4,5,0,4,3,4,10,2,218,1,2,9,2
7175,7176,2,4,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,52,2,3,5,1
3591,3592,2,2,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,9,2,206,2,4,7,1
1022,1023,2,3,4,4,4,3,4,5,4,3,2,4,5,1,4,4,4,12,2,224,1,2,6,1
8424,8425,1,1,4,5,4,5,4,5,5,4,3,4,5,0,5,4,5,4,14,1705,2,2,8,1
7661,7662,1,1,4,4,4,4,3,4,3,4,4,3,4,0,4,4,4,5,2,203,1,2,4,1
2583,2584,2,2,4,5,5,5,5,5,5,5,5,5,5,0,4,4,4,10,2,202,2,2,12,1
2643,2644,2,4,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,10,2,207,2,2,7,2
1865,1866,2,3,4,3,3,3,4,3,3,3,4,4,4,1,4,4,4,11,2,222,2,2,7,1
4766,4767,2,4,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,8,2,205,2,2,4,1
3501,3502,1,1,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,9,15,5536,1,3,7,2
963,964,1,1,4,5,5,5,2,4,4,5,5,5,5,1,5,5,5,12,2,231,1,2,3,1
9155,9156,2,2,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,3,5,501,2,2,8,0
2296,2297,1,1,4,4,5,4,5,5,4,4,3,4,4,1,4,4,4,10,6,701,1,1,8,9
6926,6927,2,4,4,4,4,4,5,5,4,3,4,4,4,1,5,4,5,6,3,401,2,1,4,2
4725,4726,1,1,4,5,5,5,5,5,5,5,5,5,5,1,5,4,5,8,2,228,2,2,11,2
9343,9344,1,1,4,5,5,5,3,5,5,4,4,5,5,0,4,4,4,3,7,5001,1,2,8,1
1794,1795,1,1,4,4,3,4,4,3,3,5,4,4,5,0,4,3,4,11,3,401,2,1,12,1
314,315,2,4,4,3,3,3,5,5,3,3,3,5,5,1,5,5,5,12,1,32,2,2,7,4
7144,7145,1,1,4,4,5,5,4,4,5,4,5,4,5,1,5,4,5,5,14,1702,2,1,4,1
6507,6508,2,4,4,4,4,4,4,5,4,4,4,4,4,0,4,4,4,6,2,215,2,2,9,1
8820,8821,1,1,4,4,4,4,3,4,4,4,3,3,4,1,5,5,5,4,3,401,2,1,12,3
68,69,1,1,4,5,5,5,3,5,5,5,3,4,5,0,4,4,4,12,7,5001,2,2,11,0
10356,10357,2,4,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,2,2,219,2,2,2,1
9555,9556,2,2,4,3,4,4,5,5,4,3,4,3,3,1,5,5,4,3,2,201,2,1,4,1
4763,4764,2,4,4,4,5,4,5,5,4,5,5,5,5,0,4,5,5,8,2,209,2,2,7,2
999,1000,2,4,4,4,4,4,4,4,4,4,4,4,4,0,2,4,3,12,2,224,2,2,11,2
5872,5873,1,1,4,4,3,4,4,4,4,4,4,4,4,0,4,4,4,7,2,218,1,2,8,1
8668,8669,1,1,4,4,4,4,4,4,3,4,4,4,4,0,4,3,5,4,2,234,2,2,3,2
6629,6630,2,4,4,5,5,5,5,5,5,5,4,4,5,1,5,5,5,6,2,318,2,1,12,1
8203,8204,1,1,4,3,3,4,4,4,4,3,3,3,4,0,4,3,4,4,1,7,2,2,5,1
11711,11712,1,1,4,4,4,4,3,4,4,4,3,4,4,0,4,4,4,1,2,205,2,2,5,1
7526,7527,1,1,4,4,4,3,3,4,4,4,4,3,4,0,4,4,4,5,2,202,1,2,6,1
2464,2465,1,1,4,5,3,5,5,5,5,4,2,3,5,1,4,4,5,10,14,1703,1,1,8,1
