,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
5039,5040,1,1,1,4,3,4,4,4,3,2,4,3,4,0,3,3,3,8,3,401,2,2,8,1
652,653,2,4,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,1,19,2,4,8,0
7200,7201,2,4,1,5,5,5,5,5,5,5,5,5,5,1,3,4,4,5,1,14,2,1,9,5
11840,11841,1,1,1,5,4,4,4,4,5,4,4,4,4,0,4,4,5,1,2,242,2,2,11,1
5549,5550,1,1,1,3,3,5,5,5,5,4,4,4,5,0,4,4,4,7,2,206,2,2,3,3
5492,5493,1,1,1,4,4,4,4,4,4,4,4,4,4,0,4,4,4,7,2,232,2,2,8,0
10195,10196,2,4,1,1,4,5,5,5,4,4,4,4,4,1,5,5,5,2,1,16,1,1,6,3
11730,11731,1,1,1,5,5,4,3,4,4,3,3,3,4,0,2,5,3,1,2,206,1,2,99,1
8114,8115,1,1,1,5,5,5,4,5,5,5,5,5,5,1,5,5,5,4,9,805,2,2,9,3
6105,6106,1,1,1,3,3,5,5,3,5,4,4,3,4,0,3,4,4,6,1,3,2,2,7,1
665,666,1,1,1,1,3,5,5,4,4,5,3,3,5,0,5,5,5,12,1,5,2,2,3,3
909,910,1,1,1,4,4,4,4,4,4,4,3,4,4,0,4,4,4,12,2,206,2,3,3,1
11175,11176,2,4,1,5,5,4,5,5,5,5,4,5,5,1,5,4,5,1,1,3,2,2,3,3
6695,6696,1,1,1,5,5,5,5,5,4,4,4,5,5,1,5,5,5,6,2,201,2,2,7,2
8631,8632,1,1,1,4,5,4,3,4,4,4,4,3,5,0,5,4,5,4,2,211,1,2,6,2
5480,5481,1,1,1,4,5,5,5,4,4,4,5,5,5,0,4,4,4,7,3,401,1,2,8,1
4982,4983,2,2,1,4,4,4,4,4,4,4,4,3,3,1,5,4,4,8,4,402,2,3,7,3
4953,4954,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,8,7,5164,2,2,8,1
1378,1379,2,2,1,4,4,4,4,5,5,4,4,4,4,0,4,4,4,11,3,401,2,1,12,2
11569,11570,2,4,1,5,5,5,5,5,5,5,5,4,5,0,4,4,4,1,2,210,1,2,4,1
4912,4913,2,4,1,4,4,4,4,5,5,4,3,5,5,0,4,4,4,8,6,709,1,2,8,1
1799,1800,1,1,1,5,5,4,5,5,5,5,5,5,5,1,5,5,5,11,7,5001,2,2,2,2
870,871,1,1,1,5,5,5,5,4,5,5,3,3,5,1,5,4,4,12,4,402,1,1,8,0
4163,4164,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,8,5,501,2,2,8,1
9431,9432,1,1,1,4,5,5,5,5,4,4,5,3,5,0,4,4,4,3,2,234,1,2,2,1
981,982,2,3,1,4,4,4,4,4,4,4,4,4,4,0,4,4,4,12,2,210,1,2,6,1
3661,3662,2,2,1,5,4,3,4,4,4,3,2,3,4,0,4,2,3,9,3,401,1,3,12,3
3285,3286,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,9,97,5911,1,2,7,4
8897,8898,1,1,1,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,2,208,2,1,11,4
8869,8870,1,1,1,4,4,4,3,4,4,4,4,4,4,0,3,4,3,4,2,202,2,2,12,1
3166,3167,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,9,6,701,2,2,3,2
5609,5610,1,1,1,5,4,4,5,5,4,4,3,3,5,0,4,3,4,7,5,501,1,2,7,1
6803,6804,1,1,1,5,5,3,2,3,5,5,3,4,5,0,4,3,5,6,14,1703,1,2,3,1
910,911,2,2,1,5,5,5,3,4,4,4,3,3,4,0,4,4,3,12,2,222,2,2,8,1
8105,8106,1,1,1,5,5,5,5,4,4,5,5,5,5,1,5,5,4,4,5,501,1,2,4,2
9609,9610,1,1,1,4,4,4,4,5,5,4,4,4,4,1,5,5,5,3,5,510,2,2,8,2
3154,3155,1,1,1,5,5,5,4,4,5,5,5,5,5,1,5,5,5,9,2,202,2,1,7,4
1096,1097,2,2,1,3,3,5,4,4,5,4,4,3,3,0,5,3,4,11,1,4,2,1,6,4
3994,3995,1,1,1,4,5,4,5,5,4,5,5,4,5,0,5,4,4,9,2,234,1,2,12,2
4971,4972,1,1,1,4,3,4,3,3,3,4,3,3,4,0,4,4,4,8,5,502,2,2,9,3
7062,7063,2,4,1,3,3,4,4,4,4,4,4,3,3,0,4,4,4,5,1,3,2,2,4,1
4437,4438,1,1,1,4,4,4,3,3,4,4,4,4,4,0,4,4,5,8,11,1101,1,3,3,2
10028,10029,1,1,1,4,5,5,4,4,4,5,4,4,5,1,5,4,5,2,7,5883,2,2,8,1
2922,2923,1,1,1,5,5,5,4,5,3,4,5,3,5,0,4,5,5,10,3,401,2,1,3,1
5245,5246,2,3,1,5,5,5,5,5,4,3,3,5,5,1,5,5,5,7,3,401,2,2,5,3
9123,9124,2,2,1,4,5,5,5,5,4,4,4,4,5,0,5,3,5,3,6,701,2,3,5,3
5136,5137,1,1,1,3,2,3,3,5,5,4,1,3,4,0,3,3,3,7,7,5024,1,3,5,1
366,367,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,4,5,12,14,1721,1,2,2,2
2751,2752,1,1,1,4,4,4,5,4,5,4,4,4,5,1,5,4,4,10,12,1302,2,1,4,2
912,913,1,1,1,4,4,4,4,4,3,3,4,4,4,0,4,4,4,12,2,206,2,2,4,2
1,2,2,3,1,4,4,3,4,4,5,5,3,3,5,0,4,4,4,12,3,401,1,1,3,3
10616,10617,1,1,1,5,5,5,5,5,5,5,4,5,5,0,4,5,5,2,2,236,1,1,8,0
5763,5764,1,1,1,5,5,5,4,5,4,4,5,3,5,1,5,3,5,7,11,1101,1,3,5,1
4511,4512,2,2,1,5,5,5,5,5,5,5,4,5,5,0,4,4,4,8,6,701,2,2,3,1
7427,7428,1,1,1,5,5,5,3,5,5,5,3,5,5,0,4,4,4,5,6,701,1,2,8,0
2333,2334,1,1,1,4,2,4,4,4,5,4,3,3,5,1,5,3,4,10,11,1101,1,2,9,4
2925,2926,1,1,1,4,5,5,5,5,5,4,2,4,5,0,4,4,4,10,16,5031,2,2,9,1
5264,5265,2,2,1,4,4,5,4,4,5,5,3,4,5,0,4,4,4,7,5,504,2,2,4,1
1043,1044,1,1,1,5,5,5,5,5,5,4,3,3,4,1,5,4,5,11,7,5164,2,1,2,1
1887,1888,1,1,1,4,4,4,3,4,5,4,3,4,4,0,4,4,4,11,2,203,1,1,7,1
613,614,1,1,1,4,4,5,5,5,4,4,4,4,4,0,4,3,4,12,2,204,2,3,5,1
1363,1364,2,4,1,4,4,4,5,5,4,4,3,3,3,1,5,3,4,11,5,501,2,2,4,1
4011,4012,2,3,1,4,4,4,5,4,4,4,4,4,3,1,4,4,4,9,3,401,1,2,3,1
10111,10112,1,1,1,5,4,4,4,5,5,5,5,5,5,1,5,5,5,2,5,501,2,2,8,1
1034,1035,1,1,1,4,2,4,5,5,3,4,4,4,5,0,4,4,4,11,3,401,1,2,5,1
