,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
7444,7445,2,4,6,3,5,4,4,4,4,4,4,4,4,1,5,5,5,5,15,5237,1,2,7,2
11409,11410,1,1,6,3,4,5,4,4,4,4,3,3,5,0,4,4,5,1,4,402,2,3,5,3
1723,1724,1,1,6,5,5,5,5,5,5,5,5,5,5,1,5,4,5,11,12,1344,1,2,3,4
3187,3188,1,1,6,5,5,4,5,4,5,4,4,4,5,1,5,4,5,9,9,846,1,2,1,4
7269,7270,1,1,6,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,8,601,2,3,2,2
7252,7253,2,2,6,4,5,4,4,4,4,4,4,3,5,1,5,4,5,5,14,1701,1,2,2,2
2679,2680,2,2,6,5,4,4,4,4,5,5,4,3,5,1,4,4,4,10,1,10,1,2,3,4
8761,8762,2,2,6,5,4,4,4,4,4,4,1,3,5,1,5,4,4,4,15,6426,1,2,12,4
83,84,1,1,6,2,3,4,5,4,3,2,1,3,3,0,4,4,4,12,15,5020,1,1,8,0
11015,11016,1,1,6,4,5,5,3,4,5,3,2,4,5,0,4,4,4,1,16,6296,1,2,2,2
4413,4414,2,4,6,5,5,5,5,5,5,5,5,5,5,1,5,5,5,8,15,6070,1,2,7,5
8354,8355,2,2,6,5,5,5,4,5,5,5,4,4,4,0,4,4,4,4,6,701,1,3,3,3
4455,4456,2,4,6,4,5,5,4,4,5,4,4,4,5,0,3,4,4,8,9,845,1,3,1,3
9404,9405,2,4,6,5,5,5,5,5,5,5,4,5,5,1,5,3,5,3,15,5037,2,2,7,4
10853,10854,2,4,6,1,4,5,5,4,4,4,4,4,4,1,5,5,5,2,3,401,2,2,2,4
8008,8009,2,4,6,4,4,4,5,4,4,3,3,4,5,1,5,5,5,4,11,1101,1,2,2,4
6337,6338,1,1,6,4,5,4,4,4,5,5,3,4,4,0,4,3,4,6,8,625,2,2,2,1
8803,8804,2,3,6,4,5,4,3,4,4,4,3,4,5,0,4,4,4,4,16,5031,1,3,5,1
9805,9806,1,1,6,4,5,5,5,4,4,4,4,4,4,0,5,3,4,3,13,1513,2,3,12,1
1176,1177,2,4,6,3,3,3,4,3,3,3,3,3,3,0,3,3,3,11,1,8,1,1,5,4
3110,3111,1,1,6,5,5,5,5,4,5,5,4,4,5,0,5,4,5,9,97,5518,1,2,5,2
