,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
6431,6432,2,2,3,4,4,4,4,4,4,4,4,4,4,0,5,5,5,6,14,1702,2,2,3,2
10377,10378,1,1,3,5,5,5,5,5,5,5,4,5,5,1,5,4,5,2,6,701,2,9,3,1
2069,2070,1,1,3,4,4,5,3,4,5,4,3,4,5,0,4,3,4,10,6,701,1,2,4,3
4113,4114,1,1,3,4,4,4,5,5,5,4,4,4,4,0,4,3,4,8,5,501,1,2,9,2
3260,3261,1,1,3,5,5,5,5,5,5,5,5,5,5,0,4,5,5,9,6,701,2,2,4,1
1373,1374,1,1,3,4,4,4,4,4,5,5,5,3,5,0,5,4,4,11,7,5001,2,1,4,2
