,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
10484,10485,1,1,5,4,4,4,4,4,4,4,4,4,4,1,4,4,5,2,2,318,2,2,8,1
10818,10819,1,1,5,4,4,5,4,5,5,5,4,5,4,1,5,2,5,2,9,904,2,3,10,4
11810,11811,1,1,5,5,4,5,5,5,4,4,5,4,4,0,5,4,5,1,8,608,1,1,6,1
7743,7744,1,1,5,4,2,5,4,5,4,4,3,4,5,0,4,4,4,5,2,202,1,2,7,3
3908,3909,2,2,5,4,5,4,5,4,5,5,3,3,5,1,5,5,5,9,12,1303,1,3,8,1
8139,8140,2,4,5,5,5,5,5,5,5,5,5,5,5,1,5,4,5,4,7,5009,2,2,5,2
5295,5296,1,1,5,3,5,4,5,3,4,4,5,2,3,1,5,5,5,7,12,1360,1,1,6,1
5814,5815,2,3,5,4,4,4,5,4,5,5,4,4,4,0,4,4,4,7,4,402,2,3,5,1
6330,6331,2,4,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,6,9,894,1,3,12,3
3416,3417,1,1,5,3,5,5,5,4,3,4,3,4,5,0,3,5,4,9,13,1550,2,2,8,0
5262,5263,2,3,5,3,3,4,3,3,3,3,3,3,3,0,3,3,3,7,15,5037,1,2,12,1
7876,7877,1,1,5,4,5,3,4,5,5,4,4,4,5,1,5,5,5,5,10,1016,1,2,5,1
6761,6762,1,1,5,4,3,4,5,5,4,4,3,4,5,1,5,5,5,6,13,1501,2,3,10,5
5427,5428,1,1,5,5,5,5,5,4,5,4,4,5,5,0,5,4,5,7,11,1117,1,3,5,4
5787,5788,2,3,5,5,5,5,5,5,5,5,5,5,5,1,5,4,4,7,9,865,2,2,9,2
1762,1763,1,1,5,5,5,5,4,4,3,4,3,5,5,0,5,4,5,11,12,1303,1,2,8,1
3226,3227,2,4,5,4,4,3,4,4,3,3,4,3,3,1,5,5,4,9,1,2,1,2,8,1
8454,8455,2,4,5,5,5,5,5,5,5,5,4,5,5,0,4,4,4,4,11,1112,1,2,10,5
11203,11204,1,1,5,5,5,5,5,5,5,3,5,3,3,1,5,5,5,1,9,801,1,3,5,1
4517,4518,1,1,5,5,5,5,4,5,5,5,5,5,5,0,5,5,5,8,15,5540,1,3,2,3
5357,5358,1,1,5,3,4,5,5,4,4,4,3,3,3,0,3,4,3,7,10,1009,1,3,2,3
6957,6958,1,1,5,4,4,4,4,4,4,4,4,4,4,1,5,5,5,6,7,5001,2,2,8,1
10892,10893,1,1,5,5,5,5,5,5,5,5,5,5,5,0,5,4,5,2,14,1701,2,2,8,1
9265,9266,2,2,5,5,4,4,3,5,4,4,3,3,5,0,4,3,4,3,9,845,1,2,10,5
3388,3389,1,1,5,4,5,5,5,5,4,4,4,3,5,1,5,4,5,9,6,701,2,3,2,1
7337,7338,2,2,5,5,4,4,5,5,5,5,4,4,5,0,3,5,5,5,9,804,2,2,8,5
8754,8755,1,1,5,5,5,5,4,5,5,5,4,5,5,1,5,3,5,4,9,840,2,2,10,5
6087,6088,2,4,5,5,5,4,4,4,3,4,3,4,5,1,5,3,4,6,16,5929,1,4,12,3
6051,6052,2,4,5,5,5,5,5,4,4,5,5,5,5,1,5,4,4,6,11,1102,1,1,2,5
6174,6175,2,4,5,5,5,5,5,5,5,5,4,5,5,1,5,5,5,6,1,1,2,3,5,2
7714,7715,2,3,5,5,5,5,5,5,5,5,5,5,5,0,4,4,4,5,2,208,2,3,9,2
1231,1232,1,1,5,3,3,4,3,3,4,3,3,3,3,0,3,3,4,11,8,613,1,2,8,1
3859,3860,1,1,5,5,5,5,5,5,5,5,4,5,5,1,5,4,5,9,9,851,2,3,5,3
10726,10727,2,4,5,5,5,5,5,5,4,4,5,5,5,1,5,5,5,2,2,210,1,2,1,1
7403,7404,2,2,5,4,5,5,5,4,5,5,4,5,5,1,5,4,5,5,11,1109,2,2,10,1
6462,6463,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,6,15,5077,2,1,12,2
451,452,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,9,841,2,2,8,1
6046,6047,2,3,5,5,4,4,5,4,4,3,3,4,5,0,4,4,4,6,9,840,2,3,5,5
4503,4504,2,4,5,5,5,5,5,5,5,5,5,5,5,1,5,4,5,8,4,402,2,2,5,2
3066,3067,1,1,5,5,5,3,5,4,4,4,4,5,5,0,5,5,5,9,97,5800,2,3,5,5
3424,3425,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,9,15,5562,1,1,8,2
1780,1781,1,1,5,5,5,5,5,4,4,5,4,4,5,1,4,3,4,11,9,855,2,3,8,1
1059,1060,1,1,5,4,4,4,4,4,4,5,4,4,4,1,5,4,5,11,7,5001,2,3,4,1
4530,4531,1,1,5,4,5,4,5,5,4,3,3,4,3,0,4,3,4,8,9,801,1,2,3,1
7058,7059,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,4,5,5,9,879,1,2,2,4
11021,11022,1,1,5,5,5,4,4,4,5,4,3,4,5,0,5,3,4,1,9,921,2,4,3,4
11473,11474,2,4,5,4,4,4,5,5,4,4,4,4,4,1,4,4,4,1,1,1,2,2,4,1
6847,6848,1,1,5,4,5,5,4,4,5,5,4,3,5,1,5,5,5,6,14,1707,2,2,5,3
8485,8486,1,1,5,5,5,5,5,5,5,5,3,4,5,0,4,4,5,4,9,805,2,2,7,2
418,419,2,3,5,5,5,5,5,5,5,5,5,5,5,1,5,5,4,12,9,846,2,2,8,1
3920,3921,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,9,13,1501,2,2,10,4
3496,3497,1,1,5,4,4,5,5,5,5,4,4,4,5,0,4,4,4,9,97,5004,2,2,3,1
1622,1623,1,1,5,4,4,4,4,4,4,4,4,4,4,0,3,3,3,11,2,206,2,2,4,1
8729,8730,1,1,5,5,4,4,5,4,5,4,4,4,4,0,4,4,4,4,9,894,2,2,5,1
6759,6760,1,1,5,4,5,4,4,4,5,3,2,3,5,0,5,3,4,6,13,1501,2,3,3,1
6720,6721,1,1,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,6,9,858,2,2,5,1
8720,8721,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,2,5,4,12,1341,1,3,8,1
9175,9176,2,4,5,4,4,4,4,4,3,4,4,4,4,0,3,3,5,3,1,2,1,1,3,1
9206,9207,2,2,5,3,4,4,4,4,4,2,2,3,3,0,4,4,4,3,1,68,2,1,4,1
5650,5651,2,4,5,3,4,3,4,4,4,4,3,4,5,0,4,3,4,7,2,224,1,1,7,3
7766,7767,1,1,5,5,5,5,4,4,5,4,3,4,4,1,5,4,5,5,10,1002,1,2,5,1
6746,6747,1,1,5,4,5,4,4,4,4,5,3,3,3,1,5,4,4,6,10,1009,2,2,3,1
8797,8798,1,1,5,4,5,4,4,4,5,5,4,4,5,1,5,4,5,4,97,5009,2,2,2,4
6474,6475,2,3,5,5,5,5,5,5,5,5,5,5,5,1,5,4,5,6,15,5037,1,1,3,1
1453,1454,1,1,5,5,5,5,5,4,5,5,4,4,5,0,4,4,4,11,9,801,1,2,3,2
5358,5359,2,2,5,4,5,4,5,4,4,4,3,4,5,1,4,2,4,7,9,826,2,3,11,1
2542,2543,1,1,5,5,5,5,5,5,5,5,4,5,5,1,5,3,5,10,9,824,1,2,1,4
294,295,2,4,5,4,4,3,4,4,4,4,4,4,4,0,4,4,4,12,1,5,2,1,3,5
714,715,2,4,5,3,3,4,5,5,4,4,4,4,4,1,5,4,4,12,1,27,2,1,4,1
9063,9064,1,1,5,3,3,4,5,5,4,4,4,4,4,0,4,4,4,3,9,805,1,3,1,4
8480,8481,2,4,5,4,4,5,5,5,5,4,5,4,5,0,5,5,5,4,15,5536,2,2,3,1
1488,1489,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,3,5,11,10,1008,2,3,12,4
5478,5479,1,1,5,4,5,5,4,4,4,4,4,4,5,0,4,3,4,7,97,6483,2,2,3,2
11179,11180,2,2,5,4,5,5,3,3,3,5,3,5,4,1,4,4,5,1,1,18,2,2,8,1
8299,8300,1,1,5,5,5,5,5,5,5,5,4,4,5,1,5,5,5,4,11,1101,1,2,2,2
1944,1945,2,3,5,5,4,4,4,3,4,4,4,4,4,1,5,5,5,11,2,223,2,3,1,1
6263,6264,1,1,5,4,5,5,5,5,4,5,3,3,5,0,5,4,5,6,9,819,2,3,8,1
3693,3694,2,2,5,4,4,4,4,4,3,4,5,4,5,0,4,4,4,9,2,235,1,1,7,4
5296,5297,2,4,5,2,3,5,5,5,5,5,3,4,5,0,5,4,4,7,10,1009,1,3,5,2
10269,10270,1,1,5,4,5,4,5,4,4,5,4,3,5,1,5,4,4,2,3,401,2,2,8,1
10228,10229,1,1,5,4,5,5,5,5,5,5,3,5,5,1,5,3,5,2,10,1085,2,3,5,4
4880,4881,1,1,5,5,4,3,5,4,3,4,4,5,5,1,5,5,5,8,9,802,1,3,10,4
7784,7785,1,1,5,5,5,5,4,5,5,4,4,5,5,1,5,5,5,5,9,812,2,2,1,3
10842,10843,1,1,5,5,5,5,5,5,5,5,5,5,5,0,4,3,5,2,9,921,2,3,10,4
10863,10864,2,4,5,4,5,5,4,4,5,5,3,5,5,1,4,4,4,2,13,1509,1,3,3,4
9856,9857,2,2,5,3,3,5,4,5,3,4,3,4,5,1,5,5,5,3,9,813,1,2,12,2
5356,5357,1,1,5,4,5,5,4,4,4,4,4,4,4,0,3,4,4,7,9,811,2,3,5,1
5318,5319,2,2,5,4,4,3,3,4,5,4,4,3,4,0,4,5,5,7,2,253,1,2,6,2
4776,4777,2,4,5,4,4,4,4,4,3,4,4,4,4,0,4,4,4,8,2,291,2,2,12,1
3796,3797,2,4,5,4,4,4,5,5,5,5,4,4,4,1,4,4,4,9,1,2,2,2,5,2
9230,9231,1,1,5,5,5,4,4,4,5,5,4,4,5,0,5,3,5,3,11,1104,2,2,7,4
8772,8773,2,4,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,4,6,701,1,2,8,1
11222,11223,2,4,5,3,4,4,4,4,4,4,4,4,4,1,5,5,5,1,3,401,2,2,8,1
8011,8012,1,1,5,5,5,5,5,5,5,4,5,4,5,0,4,3,5,4,10,1010,2,1,10,4
3387,3388,2,4,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,9,5,501,2,2,3,3
8182,8183,2,4,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,4,1,1,2,2,12,2
4543,4544,1,1,5,5,5,5,5,5,5,4,4,4,5,1,5,4,5,8,9,841,2,2,8,1
7554,7555,2,4,5,4,4,5,3,3,3,3,2,2,3,0,4,4,4,5,1,36,2,2,6,4
3480,3481,2,4,5,5,5,5,5,5,5,5,5,5,5,1,5,4,5,9,15,5037,2,2,3,4
10897,10898,1,1,5,5,4,5,4,5,4,3,4,5,5,0,5,5,5,2,9,801,1,2,5,1
1500,1501,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,4,5,11,11,1101,2,3,9,4
1371,1372,1,1,5,5,5,5,5,5,4,3,4,4,5,0,4,3,5,11,11,1101,1,2,2,5
9857,9858,1,1,5,5,5,5,5,5,5,5,5,5,5,0,5,4,5,3,9,804,2,2,8,1
5101,5102,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,3,5,7,11,1151,1,1,11,1
4082,4083,1,1,5,5,5,5,5,5,5,5,4,5,5,1,5,5,5,8,11,1101,2,2,8,1
