,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
3775,3776,2,4,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,9,2,212,1,2,7,1
11658,11659,1,1,1,4,5,3,4,4,4,5,3,3,5,0,4,4,4,1,10,1001,1,2,1,3
554,555,1,1,1,4,4,3,4,4,4,4,3,3,4,1,4,5,4,12,2,220,2,2,12,1
10614,10615,1,1,1,5,5,5,3,5,3,5,4,4,5,0,3,5,4,2,2,210,1,2,4,1
9538,9539,2,2,1,4,4,4,5,5,4,4,3,3,3,1,4,2,4,3,1,2,1,2,7,4
6833,6834,1,1,1,4,4,3,3,4,4,4,2,3,5,0,4,3,4,6,7,5001,1,2,3,1
1458,1459,2,2,1,5,4,5,5,4,5,5,3,4,5,0,5,3,5,11,4,402,2,3,9,3
5892,5893,1,1,1,4,4,4,4,4,4,4,4,4,4,1,4,4,4,7,2,218,1,2,8,1
5182,5183,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,7,2,203,1,2,7,2
2625,2626,1,1,1,4,4,4,4,4,4,4,4,4,4,0,4,4,4,10,2,274,2,2,1,2
3621,3622,1,1,1,4,4,4,4,4,4,4,4,4,4,0,4,4,4,9,2,206,1,2,7,1
3037,3038,1,1,1,5,5,5,4,4,4,4,4,3,5,0,3,4,4,10,2,205,2,2,2,2
11359,11360,1,1,1,4,4,5,4,4,3,4,3,3,4,0,4,4,5,1,6,758,1,2,3,1
7170,7171,1,1,1,3,5,5,5,5,4,5,3,2,3,1,5,4,5,5,97,5211,1,2,2,1
1579,1580,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,11,5,501,2,2,4,1
5513,5514,1,1,1,4,4,4,4,5,5,4,4,4,5,0,4,4,4,7,2,202,2,2,3,1
10120,10121,2,4,1,4,3,3,3,4,3,3,3,3,3,0,3,3,3,2,1,99,2,2,5,1
471,472,1,1,1,5,5,5,5,5,4,4,4,4,5,0,4,4,4,12,8,609,1,2,5,1
10486,10487,1,1,1,4,4,4,4,4,4,4,4,4,4,0,4,4,4,2,2,274,2,2,8,1
2364,2365,1,1,1,5,5,5,4,4,4,4,3,4,4,0,4,4,4,10,10,1002,1,2,2,3
3498,3499,2,3,1,5,5,5,5,5,5,5,5,5,5,1,5,4,5,9,14,1703,1,2,6,3
11811,11812,1,1,1,4,4,4,4,4,4,4,4,4,4,0,5,4,5,1,8,608,1,2,3,2
4146,4147,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,8,3,401,2,2,3,1
8289,8290,2,3,1,3,4,4,4,4,3,4,4,4,4,0,4,4,4,4,3,401,2,1,3,2
3974,3975,2,4,1,5,5,5,5,5,5,5,5,5,5,0,4,4,4,9,2,253,1,1,4,1
8270,8271,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,4,9,813,2,2,12,1
3537,3538,2,3,1,5,5,5,5,5,5,5,4,5,5,1,5,5,5,9,4,402,2,2,2,2
4999,5000,2,4,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,8,1,4,1,3,11,3
1735,1736,2,2,1,4,4,4,4,4,4,4,3,4,4,0,4,4,4,11,3,401,2,1,4,1
11067,11068,1,1,1,3,4,4,4,4,4,4,4,4,4,0,3,3,4,1,2,236,2,2,4,3
6534,6535,1,1,1,4,4,4,3,2,2,3,2,3,3,0,2,4,2,6,2,201,2,2,9,2
7117,7118,1,1,1,3,3,3,2,4,2,2,1,3,4,0,1,4,2,5,7,5001,1,2,1,2
3611,3612,1,1,1,4,4,4,4,4,4,4,4,4,4,0,4,4,4,9,2,240,2,2,5,3
980,981,1,1,1,5,5,4,4,4,4,4,2,3,4,0,4,4,4,12,5,525,2,2,4,3
4616,4617,1,1,1,4,3,3,1,2,4,3,3,3,4,0,3,4,2,8,2,208,1,2,3,2
5075,5076,2,2,1,4,4,4,4,4,4,4,4,4,4,0,4,4,4,7,4,402,2,2,5,1
7374,7375,1,1,1,5,4,4,3,4,4,4,4,4,4,0,4,3,4,5,97,5211,2,2,12,1
2217,2218,1,1,1,5,4,4,4,4,5,5,5,4,4,1,4,5,4,10,6,701,1,2,3,1
7360,7361,1,1,1,4,4,5,4,5,4,4,4,4,5,1,5,4,5,5,8,601,2,3,3,1
2345,2346,1,1,1,5,5,5,5,5,5,5,3,4,5,0,4,4,5,10,4,402,2,2,9,2
10149,10150,2,3,1,5,5,5,5,5,5,5,5,5,5,0,4,4,4,2,6,701,2,2,3,3
6155,6156,2,4,1,2,4,4,4,4,4,3,3,3,4,0,3,3,3,6,6,701,2,2,3,2
571,572,2,2,1,4,5,5,5,5,4,5,4,5,5,1,5,4,5,12,2,228,2,2,3,1
3841,3842,1,1,1,4,5,4,4,4,4,4,4,4,4,0,4,4,4,9,9,940,1,4,5,2
4642,4643,1,1,1,5,4,3,4,4,5,4,4,4,4,0,4,4,4,8,2,202,1,2,3,2
5284,5285,1,1,1,4,4,3,4,4,4,4,2,4,4,0,4,3,3,7,3,401,2,1,3,3
